,상품명,정보,특징,맛_음식
521,예천주 사월24,예천주 사월는 경북 예천의 친환경 오미자를 원료로 국세청으로부터 이전 받은 특허공법과 농업회사법인(주)착한농부의 주류 생산 역량이 결합하여 탄생한 프리미엄 오미자 증류주이다. 맑고 투명한 주황 빛깔에 오미자 특유의 오묘하고 상큼한 향 그리고 오미자의 다섯 가지 맛을 느낄 수 있는 제품이다. 다수의 주류품평회에서 수상하여 맛과 품질을 인정 받았다. 춤출사(娑) 달월(月)을 브랜드로하고 있는 예천주 사월은 입안에 머금으면 달빛아래 춤을 출듯한 같은 느낌을 표현한다고 한다.," 다섯 가지 맛이 어우러진 오미자 프리미엄 증류주 예천주 사월의 원료인 오미자는 천연의 다섯 가지 맛을 담아 절묘한 균형을 이루고 있어 라틴어로 The maximowiczia Typica 즉 최상의 맛이라는 뜻을 담고 있다. 선홍색으로 매력적인 색조와 잘 익은 오미자에서 퍼지는 은은한 스파이스향, 그리고 오미자 특유의 단맛, 쓴맛, 짠맛, 신맛, 매운맛 5가지 맛이 어우러져 은은한 향취가 일품이다.,  특별한 날, 특별한 술 예천주 사월 막시모40은 경북 예천 청정지역에서 생산된 오미자를 장기간 발효하여 저온증류하고 특별히 가공된 오미자씨를 백자항아리에서 침출하여 숙성한 원주에 오미자과즙을 특별공법으로 첨가하였다. 오미자증류주 제조방법 특허(제10-1293694)를 국세청으로부터 기술이전 받아 특별함에 특별함을 더한 제품으로 만들어졌다.,  주류품평회에서 매년 수상하는 제품력 제조사 농업회사법인(주)착한농부는 2015년에 설립되 양조장의 역사가 짧은 곳이지만 생산하는 제품(막시모40, 예천주복)가 2017~2019년 대한민국주류대상 우리술부문에서 3개년 연속 수상하고 2017년 대한민국 우리술품평회에서 증류주 부문에서 우수상을 수상하는 등 전통주업계에서 두각을 나타내고 있다.","예천주 사월24, 375ml, 24% 약용증류주로 증류한 후에 오미자를 활용해 아주 엷은 황금색을 가진 오미자 증류주이다. 오미자의 신선한 향이 살아있으며 입 안에 넣으면 산뜻함이 입 안을 꽉 채워준다. 술이 가진 향과 맛에 비해 입 안에 느껴지는 자극이 강하여 매우 남성스러운 술이라 할 수 있다. 오리백숙과 아주 잘 어울린다."
522,방문주 탁주,방문주(方文酒)는 이름 그대로 술 빚는 방법대로 빚은 술을 뜻한다. 방문주는 주로 봄 가을철에 빚는 술로 알려져 있는데 문헌 및 가전비법에 따라 재료의 처리방법이 다양하므로 술 빚기에 있어 까다로운 면이 없지 않다. 그러나 맛과 향 알코올 도수의 함량 등에서 단연 특별하다 싶을 정도로 뛰어난 맛과 향취를 자랑한다.(한국전통주연구소 박록담 소장)," 깊은 향에 더한 감칠맛이 뛰어난 술 방문주는 밑술의 재료를 쌀가루로 하여 빚는 만큼, 목적에 따라 또는 용도에 따라 감칠맛이 좋은 술을 빚을 수도 있고, 강한 향기와 함께 독한 술을 빚을 수도 있으며, 지극히 부드럽고 감미로운 술을 빚을 수도 있다. 방문주는 이와 같은 응용과 변용이 가능한 술이다. 술 빚는 이의 선택에 따라 알코올 도수와 맛, 특히 향기를 다르게 빚을 수 있다. 조선 시대 주막에서 방문주를 가장 많이 마셨다는 것도 이 때문이다. 마을이면 마을, 가문이면 가문 마다 서로 다른 제조법을 계승해 왔다는 점에서 방문주는 전통주의 기본과 특징을 고스란히 담고 있다.  조선시대 술 빚기의 전형을 재현하다 방문주란 술 이름에서 보듯 방문(方文)대로 빚는 술 곧 술 빚는 방법대로 빚는 술이란 뜻이다. 여기서 술 빚는 방법이란, 태초에 중국에서 술 빚기가 이루어졌을 때, 주재료를 처리함에 있어 죽과 백설기 형태로 술을 빚어 오다가 고두밥 순으로 발달하였는데, 이와 같은 재료 처리방법이 우리나라에 전해져, 우리 전통주 제조의 전형(典型)을 이루었다고 보고 있다. 따라서 이와 같은 방법의 술 빚기 형태를 근간으로 술 빚는 법이 정착되면서 술 빚는 법(주방문:酒方文)이 되었으며, 이 주방문대로 빚은 술이 방문주이다.(한국전통주연구소 박록담 소장),  옛 선조의 명술을 복원하여 주류품평회에서 인정 받은 술 빚기 실력 제조사 케이소주(부설:전주가양주연구소)의 서승권 대표는 십 수년간 옛 고문서에서 기록으로 전해오는 전통주 복원에 노력해 오고 있다. 전주 전통술박물관 에서 주최하는 국선생 선발대회에서 소주, 약청주 부문 수상을 비롯하여 농림축산식품부에서 매년 개최하는 대한민국 우리술품평회에서도 호산춘의 주방문을 근거로 300년만에 복원된 우리술오늘로 탁주 부문 최우수상을 수상하는 등 우수한 전통주를 복원하여 소비자에게 널리 알리고 있다.","방문주 탁주, 500ml, 15% 잔잔한 아이보리 컬러를 가진 방문주 탁주는 과실향과 곡물향, 그리고 잘 익은 누룩향을 골고루 갖춘 밸런스 좋은 맛을 가지고 있다. 역시 특유의 단맛은 배제되어 있으며, 생주 특유의 산미를 가지고 있다. 식중주로도 좋은 역할을 할 듯하며, 잡채, 육전 등 기름진 요리와 잘 어울릴 듯하다."
523,방문주 약주,방문주(方文酒)는 이름 그대로 술 빚는 방법대로 빚은 술을 뜻한다. 방문주는 주로 봄 가을철에 빚는 술로 알려져 있는데 문헌 및 가전비법에 따라 재료의 처리방법이 다양하므로 술 빚기에 있어 까다로운 면이 없지 않다. 그러나 맛과 향 알코올 도수의 함량 등에서 단연 특별하다 싶을 정도로 뛰어난 맛과 향취를 자랑한다.(한국전통주연구소 박록담 소장)," 깊은 향에 더한 감칠맛이 뛰어난 술 방문주는 밑술의 재료를 쌀가루로 하여 빚는 만큼, 목적에 따라 또는 용도에 따라 감칠맛이 좋은 술을 빚을 수도 있고, 강한 향기와 함께 독한 술을 빚을 수도 있으며, 지극히 부드럽고 감미로운 술을 빚을 수도 있다. 방문주는 이와 같은 응용과 변용이 가능한 술이다. 술 빚는 이의 선택에 따라 알코올 도수와 맛, 특히 향기를 다르게 빚을 수 있다. 조선 시대 주막에서 방문주를 가장 많이 마셨다는 것도 이 때문이다. 마을이면 마을, 가문이면 가문 마다 서로 다른 제조법을 계승해 왔다는 점에서 방문주는 전통주의 기본과 특징을 고스란히 담고 있다.  조선시대 술 빚기의 전형 방문주란 술 이름에서 보듯 방문(方文)대로 빚는 술 곧 술 빚는 방법대로 빚는 술이란 뜻이다. 여기서 술 빚는 방법이란, 태초에 중국에서 술 빚기가 이루어졌을 때, 주재료를 처리함에 있어 죽과 백설기 형태로 술을 빚어 오다가 고두밥 순으로 발달하였는데, 이와 같은 재료 처리방법이 우리나라에 전해져, 우리 전통주 제조의 전형(典型)을 이루었다고 보고 있다. 따라서 이와 같은 방법의 술 빚기 형태를 근간으로 술 빚는 법이 정착되면서 술 빚는 법(주방문:酒方文)이 되었으며, 이 주방문대로 빚은 술이 방문주이다.(한국전통주연구소 박록담 소장),  옛 선조의 명술을 복원하여 주류품평회에서 인정 받은 술빚기 실력 제조사 케이소주(부설:전주가양주연구소)의 서승권 대표는 십 수년간 옛 고문서에서 기록으로 전해오는 전통주 복원에 노력해 오고 있다. 전주 전통술박물관 에서 주최하는 국선생 선발대회에서 소주, 약청주 부문 수상을 비롯하여 농림축산식품부에서 매년 개최하는 대한민국 우리술품평회에서도 호산춘의 주방문을 근거로 300년만에 복원된 우리술오늘로 탁주 부문 최우수상을 수상하는 등 우수한 전통주를 복원하여 소비자에게 널리 알리고 있다.","방문주 약주, 500ml, 15% 옅은 황금색을 가진 방문주로 진한 과실향 보다는 신선한 곡물의 향이 떠오르는 느낌이다. 단맛은 배제되어 있지만, 후미에서 느껴지는 독특한 맛이 있다. 단맛이 적은 만큼 달콤한 음식과 잘 어울릴 듯하다. 배즙으로 듬뿍 들어간 한우 불고기, 잘 구워낸 떡갈비 등도 잘 어울리는 음식이다."
524,시나브로 드 글로리아,시나브로 드 글로리아와인은 한국인이 식용으로 가장 선호하는 포도 품종인 캠벨얼리를 사용하여 만든 한국와인이다. 캠벨얼리로 향조하여 특유하고 풍부한 과일향과 부드러움을 느낄 수 있는 한국와인이다. 브랜드명 시나브로는 나도 모르는 사이 조금씩이라는 순우리말로 소비자가 시나브로 반하게 되는 매력적인 와인을 만들자는 와이너리의 소망을 담고 있다. 소믈리에 자격증을 취득한 온 가족이 함께 와이너리를 경영하고 있는데 며느리 이름 영광의 이름을 따서 글로리아라고 이름 붙였다.," 시나브로... 와인메이커로서 명성을 쌓아가다 와이너리 불휘농장이 명성을 얻기 시작한 것은 2014년부터이다. 양조면허를 획득하고 제품판매에 나선지 3년만에 이룬 쾌거였다. 제1회 한국와인대상에서 시나브로 로제 와인이 은상, 2015년 아시아와인트로피에서 시나브로 화이트 골드와인으로 금상, 같은 해 한국와인베스트셀렉션에서 대상, 2016년에도 로제와인과 레드 드라이 와인, 레드 스위트 와인으로 금상, 은상을 수상한데 이어 2018년에는 대한민국 주류대상에서 시나브로 컬트와인으로 대상을 수상했다. 불휘농장에서 생산하는 다양한 와인이 각종 주류품평회에서 시나브로라는 이름과는 달리 맹렬하게 수상을 이어가고 있다.,  한국와인의 1번지 충북 영동와인 2005년에 포도와인 산업특구로 지정된 영동군은 국내 와인산업을 이끄는 기업형 1개소, 농가형 42개소, 총 43개소의 와이너리를 육성하고 있으며, 청정 지역의 고품질 포도를 활용해 생산, 가공, 체험까지 6차 산업을 아우르고 있다. 2017년 국가브랜드대상에서 와인 부문 대상을 수상하며 이름을 높였다. 영동와인은 아직도 높은 발전가능성을 가지고 있으며, 2018년 완공된 와인테마터널과 연계하여 와인관광의 메카로 거듭나고 있다. 제조사 불휘농장은 영동와인 중에서도 가장 돋보기는 와이니리로 다양한 제품이 국내외 와인품평회에서 우수한 성적을 거두며 수상을 이어가고 있다.  농가형체험 와이너리로 새로운 지평을 열다. 불휘농장은 와인 관련 각종 체험 프로그램을 도입해 소비자를 농장으로 불러모으고 있다. 포도 수확기에는 직접 포도도 따고 나만의 와인을 만들어 볼 수도 있다. 와인을 섞은 따뜻한 물에 발을 담가 일상의 피로를 풀어보는 와인족욕과 포도껍질을 이용한 천연염색도 인기다. 가족단위 체험객을 위해 게스트룸과 카라반을 갖추었고, 대규모 체험객을 위해서는 인근에 대형 숙박시설과 연계하여 팜스테이도 운영하고 있다.","시나브로 드 글로리아, 750ml, 12% 맑고 청아한 포도색을 가진 와인이다. 단맛보다는 산미에 중점을 둔 와인이며, 향에서 묘한 뿌리 냄새가 나는 것도 특징이다. 물같이 부드러운 목 넘김을 가지고 있으며, 가벼운 탄닌감도 있어서 불고기 및 육전 등, 가벼운 고기류하고는 잘 어울릴 수 있다."
525,필 FEEL,필(Feel) 안동소주는 전통적인 안동소주 제조방식으로 술을 빚고 소비자 입맛에 맞춰 다양한 제품이 출시되고 있는 안동소주 중에서 필 안동소주만의 맛을 경함할 수 있는 프리미엄 제품이다. 상온에서 보관하고 마시면 필(Feel) 안동소주의 풍미와 맛을 더욱 풍부하게 느낄 수 있다. 지하 158m 천연 암반수를 사용하여 술을 빚고 전통적인 안동소주 양조법에 술 맛을 부드럽게 하는 감압증류방식으로 제조하여 안동소주를 현대적으로 재해석한 제품이다.," 전통의 깊은 맛 안동소주의 유래 안동소주를 비롯한 소주는 고려시대 권문세가 사이에 유행하기 시작했으며 민간요법으로 배앓이, 독충에 물린 데는 소주를 발라 치료하는 등 약용으로 사용되었다는 점이 특이하다. 또한, <조선명인전>에는 연산군 때 안동으로 귀향 왔던 농암 이현보 선생이 중종반정 후 지평으로 복직되어 불요불굴의 정신으로 직무에 충실하여 동료 간에 소주도병이라는 별명을 얻었다는 기록에서 소주의 역사적 일단을 볼 수 있다. 안동소주는 특히 맛과 향이 일품이다. 의서에서는 소주가 약용으로 사용되었다는 기록과 함께 현재 안동 지역민의 제보에서도 안동소주를 상처에 바르고, 배앓이, 식욕부진, 소화불량 등의 약으로 활용하기도 했다고 한다.  소주는 언제부터 만들어졌을까? 우리민족은 언제부터 소주를 마시기 시작했을까? 우리나라에 소주가 전래된 것은 고려시대로 거슬러 올라간다. 페르시아에서 발달한 증류법이 원나라와 만주를 거쳐 들어왔다는 게 정설로 되어 있다. 고려, 조선시대 때에는 고급주로 일부 특권층이 마시던 소주는 근대에 이르러 대중화 시대를 맞는다. 1905년 전에는 주로 서울 공덕동, 마포, 동막 부근에서 가내 수공업 형태로 제조되어 서민에게도 팔렸다.  전통을 현대적으로 재해석하여 안동소주의 대중화를 이끌다. 공기 좋고 물 맑은 천혜의 자연환경을 자랑하는 안동은 태백산맥이 지맥을 이루어 산이 험준하고 지층은 유기질 최적암층으로 이루어져 술 빚기에 좋은 고지대 지하의 암반수가 풍부하다. 제조사 명품안동소주는 현대인의 기호에 맞게 국내에서 유일하게 3회 여과한 증류원액을 사용하여 화근 냄새를 줄여 안동소주의 깊은 맛을 즐길 수 있다. 전통의 맛과 향을 개선하여 누구나 즐길 수 있게 안동소주를 대중화하며 증류식 소주의 대중화를 이끌고 있다.","필 FEEL, 500ml, 40% 안동소주 느낌은 전통 증류식소주에서 느낄 수 있는 불맛과 곡물의 향을 잘 살린 증류주다. 강하지는 않지만 옅은 단맛과 뒤에 올라오는 약간의 쓴맛이 매력적이다. 안동소주 느낌 30%도 아주 차게 마시기 보다는 실온에 두고 증류향을 느끼면서 마시길 바란다. 도수가 너무 높다고 느끼면 온더락으로 즐기는 것 또한 방법이다. 석쇠 불고기와 잘 어울린다."
526,감이슬,감이슬은 충청남도 논산에서 재배한 감을 활용해 만든 증류주이다. 늦가을 수확한 홍시를 와인으로 개발하기 위해 홍국균을 이용한 전문적인 발효 기술을 개발하고 고유의 풍미를 내기 위해 10여년을 연구하여 만들어낸 제품이다. 떫은 감을 홍국 균주로 당화 시켜 효모발효를 통해 얻어진 추시와인(감와인)을 1년간 저장고에서 숙성시켜 동증류기로 수차례 증류하고 자작나무숯 여과를 거쳐 얻어진 증류주이다.," 영양만점 감으로 빚은 감와인 감의 떫은맛을 내는 이유는 디오스프린이라는 타닌 성분이 함유되었기 때문인데 체내에 불필요한 중성지방을 배출하고 콜레스테롤 수치를 낮춰주는 작용을 한다. 감에는 알코올 대사에 관여하는 아세트알데히드 탈수효소의 활성을 촉진하는 성분과 당분이 풍부하여 숙취를 예방하고 해소하는데 탁월한 도움을 준다고 한다. 또한 폴리페놀, 비타민c 등 항산화 성분이 풍부하여 세포의 산화 및 노화를 예방할 수 있다.  은은한 감의 풍미를 느낄 수 있는 감이슬 양촌감영농조합에서는 감을 활용하여 증류한 제품이다. 고급증류주를 만드는데 사용된다는 단식증류기를 통해 여러 번 증류과정을 거치므로 감향이 은은하게 배어 나오고 깔끔한 증류주 특유의 느낌을 살린 제품이다. 홍국와 카테닌(타닌)으로 옅은 붉은색을 띄며 감 고유의 은은한 향과 입안을 감싸는 독특한 떫은맛이 매력적인 술이다.  감발효 특허기술로 감 특유의 맛을 술병에 담다. 감은 특성상 술로 숙성되기가 쉽지 않다. 식초로 변하기 쉽다. 이러한 단점을 보완하기 위한 양촌감영농조합만의 특허 받은 발효 기술로 술을 빚는다. 추시는 홍국균을 자체 배양하는 방법을 통해 발효 과정을 거친다. 감 자체의 깊은 맛과 풍미를 살리기 위해 100% 두리감을 사용하는데, 완숙된 상태인 홍시를 쓴다. 감와인 1병에 8개의 두리감 홍시가 들어가며, 2년의 숙성 기간을 거친다.","감이슬, 375ml, 23% 양촌감영농조합법인에는 두 종류 감 증류주가 있다. 하나는 16% 감이슬 그리고 다른 하나는 PERSIMMON VODKA 32%이다. 감이슬은 맑고 투명한데 반해 PERSIMMON VODKA 는 아주 옅은 황금빛 미색을 가지고 있어 차이가 난다. 감이슬은 도수가 낮고 부드러워 누구나 편하게 마실 수 있는 증류주로 양념이 되지 않은 생선찜 등과 잘 어울린다."
527,그랑티그르CE2002,그랑티그르CE2002와인은 제조사 월류원에서 생산하는 최고등급의 와인이다. 당분을 추가하지 않는 순수포도발효를 원칙으로 탄생한 이 와인은 지금까지 캠벨이 가지고 있는 탄닌감의 부재 부정적 폭시플레버향 낮은 당도를 극복한 한국형 스틸와인이다. 무가당원칙으로도 12%라는 높은 알코올을 만들 수 있었던 방법은 주류면허지원센터의 포도 머스트를 동결 후 해동 처리하는 농축 과실주 제조방법(특허등록 제 10-1043585호)을 이용하여 캠벨의 단점을 모두 제거하였기 때문이다. 출시와 동시에 와인품평회에서 좋은 성적을 거둠과 동시에 소비자에게도 호응을 받고 있는 제품이다.," 한국적인 맛과 향의 와인으로 승부한다. 월류원은 순수한 열정과 정직한 원료로 최상급의 제품을 만든다. 이것은 곧 월류원의 제품철학이기도 하다. 월류원은 1974년 영동에서 포도재배를 시작하여 현재까지 3대에 걸쳐 가업을 이어가고 있는 포도명가이다. 3대 박천명대표는 직접 생산한 고품질 포도를 이용하여 한국와인을 생산하기 시작하였고 창립한지 2년이 채 되지 않아 수 많은 와인 및 주류품평회에서 수상작을 낳으며 충북 영동의 대표적인 와이너리로 급부상하였다.,  그랑티그르가 되어 와인시장을 호령하다. 불어인 그랑티그르를 번역하면 큰호랑이다. 충북 영동군 황간면 소재 반야사에는 큰 호랑이가 있다. 반야사 대웅전 뒤편에는 다른 산사에서는 볼 수 없는 산신각이라는 산신을 모신 곳이 있는데 이 산신이 바로 호랑이라는 전설이 반야사 야설로 전해지고 있다. 이런 황간의 문화를 알리기 위해 탄생한 그랑티그르 와인 시리즈는 출시와 동시에 출품하는 품평회마다 좋은 성적을 거두었으며 특허기술을 이용하여 만든 그랑티그르 S1974는 대전아시아와인트로피에서 처녀출전임에도 불구하고 실버메달을 수상하는 영광을 안았다. 또한 그랑티그르 M1988은 와인전문가가 뽑은 한국와인3종에 그 이름을 올리며 주목을 받기도 하였습니다. 월류원에서 생산하는 그랑티그르와인 시리즈는 1년에 한정 소량만 생산하는 프리미엄 와인이다.,  한국와인의 1번지 충북 영동와인 2005년에 포도와인 산업특구로 지정된 영동군은 국내 와인산업을 이끄는 기업형 1개소, 농가형 42개소, 총 43개소의 와이너리를 육성하고 있으며, 청정 지역의 고품질 포도를 활용해 생산, 가공, 체험까지 6차 산업을 아우르고 있다. 2017년 국가브랜드대상에서 와인 부문 대상을 수상하며 이름을 높였다. 영동와인은 아직도 높은 발전가능성을 가지고 있으며, 2018년 완공된 와인테마터널과 연계하여 와인관광의 메카로 거듭나고 있다.","그랑티그르CE2002, 750ml, 12% 캠벨포도 특유의 맑고 청아한 색을 가지고 있는 와인이다. 단맛은 적지만, 특유의 향과 잔잔한 물결과 같은 목 넘김을 가지고 있다. 탄닌감이 적어서 진한 육류보다는 산채 한정식과 같은 다양한 나물 요리가 잘 어울릴 것이다."
528,산내울 복분자주,거창 사과 원예 농협에서 생산하는 ‘산내울 복분자주’는 해발 600m 이상에서 자란 청정 복분자를 원료로 한 리큐르주다. 복분자의 붉은 빛깔을 그대로 담고 있으며 향과 맛이 잘 어우러져 거창군을 대표하는 특산물로 자리하고 있다. 엄격한 생산과정과 품질을 관리하며 저온 발효탱크에서 발효하여 복분자의 효능뿐 아니라 특유의 아름다운 색과 향을 구현하고 있다.," 해발 600m 고랭지 청정 자연에서 재배한 복분자 거창 사과 원예 농협에서 생산하는 ‘산내울 복분자주’는 해발 600m 이상에서 자란 청정 복분자를 원료로 한 리큐르주다. 복분자의 붉은 빛깔을 그대로 담고 있으며, 향과 맛이 잘 어우러져 거창군을 대표하는 특산물로 자리하고 있다. 복분자는 안토시아닌계 화합물질로 항산화 기능이 뛰어나며, 비타민 A, C 등과 각종 미네랄이 풍부하여 피로 회복에 좋은 것으로 알려져 있다.  균일한 품질을 위해 리큐르 제조법으로 생산 제조사 거창사과원예농협은 거창 지역 농가에서 직접 재배한 과실을 수매하면 신선도 유지를 위해 영하 40도에서 급속동결한다음 밀봉해서 영하 20도로 보관한다.주류 제조 상황에 맞춰 필요한 양을 제품 라인에 투입하고 발효 후반에 주정을 첨가해 품질을 균일화시키고 전체적인 맛은 부드럽게, 뒤끝은 깨끗해지도록 리큐르 제조공법으로 생산한다. 또한 재배농민들을 위한 사업이니만큼 발효주 형태로 만들 때보다 과실의 소비를 더 많이 할 수 있는 리큐르주 제조방식을 선택하고 있다.  국내외 주류품평회에서 매년 수상을 이어가다. 거창사과원예농협에서 생산하는 사과주, 복분자주, 오미자주 등의 술은 국내외 주류품평회에서 매년 수상을 이어가고 있다. 대한민국전통주품평회 수상(2007, 2009), 경남 향도식품 경연대회 수상(2008, 2011), 대한민국 우리술품평회 수상(2010, 2012, 2014, 2016, 2019), 미국 샌프란시스코 국제주류박람회 수상(2013, 2014), 벨기에 몽드셀렉션 골드메달 수상(2015) 등 유수한 주류품평회에서 놀라운 성적을 거두었다.","산내울 복분자주, 750ml, 16% 오미자의 색보다는 옅은 옐로 다이아몬드의 색을 띠고 있다. 스치듯 보면 마치 사과주와 같은 색감으로 느껴진다. 하지만 향을 맡아보면 이 술의 반전이 시작된다. 오미자의 산뜻한 새콤함이 그대로 올라오기 때문. 입안에 머금으면 오미자의 다섯 가지 맛(단맛, 짠맛 신맛, 매운맛, 쓴맛)이 그대로 따라온다. 하지만 단맛과 신맛의 중심이 되어 있어 거부감은 전혀 느껴지지 않는다. 여름에 얼음과 탄산수를 넣고 마시면 더할 나위 없이 시원한 술이다."
529,예천주 사월365,예천주 사월는 경북 예천의 친환경 오미자를 원료로 국세청으로부터 이전 받은 특허공법과 농업회사법인(주)착한농부의 주류 생산 역량이 결합하여 탄생한 프리미엄 오미자 증류주이다. 맑고 투명한 주황 빛깔에 오미자 특유의 오묘하고 상큼한 향 그리고 오미자의 다섯 가지 맛을 느낄 수 있는 제품이다. 다수의 주류품평회에서 수상하여 맛과 품질을 인정 받았다. 춤출사(娑) 달월(月)을 브랜드로하고 있는 예천주 사월은 입안에 머금으면 달빛아래 춤을 출듯한 같은 느낌을 표현한다고 한다.," 다섯 가지 맛이 어우러진 오미지 프리미엄 증류주 예천주 사월의 원료인 오미자는 천연의 다섯 가지 맛을 담아 절묘한 균형을 이루고 있어 라틴어로 The maximowiczia Typica 즉 최상의 맛이라는 뜻을 담고 있다. 선홍색으로 매력적인 색조와 잘 익은 오미자에서 퍼지는 은은한 스파이스향, 그리고 오미자 특유의 단맛, 쓴맛, 짠맛, 신맛, 매운맛 5가지 맛이 어우러져 은은한 향취가 일품이다.,  특별한 날, 특별한 술 예천주 사월 막시모40은 경북 예천 청정지역에서 생산된 오미자를 장기간 발효하여 저온증류하고 특별히 가공된 오미자씨를 백자항아리에서 침출하여 숙성한 원주에 오미자과즙을 특별공법으로 첨가하였다. 오미자증류주 제조방법 특허(제10-1293694)를 국세청으로부터 기술이전 받아 특별함에 특별함을 더한 제품으로 만들어졌다.,  주류품평회에서 매년 수상하는 제품력 제조사 농업회사법인(주)착한농부는 2015년에 설립되 양조장의 역사가 짧은 곳이지만 생산하는 제품(막시모40, 예천주복)가 2017~2019년 대한민국주류대상 우리술부문에서 3개년 연속 수상하고 2017년 대한민국 우리술품평회에서 증류주 부문에서 우수상을 수상하는 등 전통주업계에서 두각을 나타내고 있다.","예천주 사월365, 375ml, 36.5% 약용증류주로 증류한 후에 오미자를 활용해 아주 엷은 황금색을 가진 오미자 증류주이다. 오미자의 신선한 향이 살아있으며 입 안에 넣으면 산뜻함이 입 안을 꽉 채워준다. 술이 가진 향과 맛에 비해 입 안에 느껴지는 자극이 강하여 매우 남성스러운 술이라 할 수 있다. 오리백숙과 아주 잘 어울린다."
530,두유노,두유노의 제조법 영감은 옛 우리 문헌에서 받았다. 옛날 문헌에 보면 전통술을 만들면서 쌀 누룩 물 외에 밀가루를 넣는 경우가 있다. 밀가루를 넣는 것은 술에 시큼털털한 느낌을 주기 위해서다.이것을 좀 현대적으로 재미있게 표현해보고 싶어 빵의 천연발효종인 르뱅을 넣어 만든 신개념 막걸리다. 천연발효종을 넣었기 때문에 이탈리아 모스카토 포도품종에서 느끼는 가볍고 탄산도 살짝 있는 산미가 있다. 전체적으로 단맛이 다소 도드라지고 여성 소비자에게 인기 있는 제품이다.," 서울 속 양조장, 디오케이 브루어리에서 빚다. DOK는 ‘디오케이’라고 읽을 수도 있고, ‘독’이라고 읽을 수 있다. 독은 ‘술독’에서 가져왔다. 작년에 생긴 신생 양조장인 디오케이브루어리(대표 이규민)는 맥주 제조기법을 막걸리 양조에 접목시켜 신개념 막걸리들을 만드는 이색 양조장이다. 막걸리를 수제맥주, 와인처럼 만든다. 회사명 디오케이는 술독을 의미한다.  창의적인 상상으로 막걸리의 스펙트럼을 넓히다. 한식을 전공하고 요리사의 경력을 쌓고자 해외 레스토랑에서 일했다는 이규민 대표는 창의적인 맥주 제품으로 유명한 코펜하겐의 브루펍에서 그들만의 실험적인 맥주를 만드는 것에 깊은 인상을 받았다. 다양한 시도로 막걸리 또한 맥주처럼 라거 스타일, 페일에일 스타일로 얼마든지 만들 수 있겠다고 생각들었다재료를 차별화한다든지, 제조법을 혁신한다든지 해서 얼마든지 다양한 스타일의 막걸리를 구현할 수 있겠다 싶었다. 그 상상을 실현하고 있는 디오케이브루어리의 막걸리는 마시는 사람이 재미있어하고 젊은세대가 편하게 대할 수 있는 발랄한 술을 생산하고 있다.  드라이호핑 방식으로 막걸리에 특색을 불어 넣다. 드라이호핑이란 맥주 제조기법으로 제품이 발효되는 마지막즈음에 다양한 부재료를 넣어 술에 특징을 잡아 주는 것이다. 전통주의 경우도 여러가지 부재료를 넣어 특색 있는 술을 빚고 있는데 착안하여 디오케이브루어리는 드라이호핑 기법을 도입하여 막걸리에 숨결을 불어 넣고 있다. 절반은 전통주 제조기법과 절반은 맥주 제조기법을 혼합하여 신개념의 막걸리가 탄생하게 되었다.","두유노, 600ml, 6% 맑은 우윳빛이 첫인상으로 다가오는 술이다. 코끝을 대보면 잘 익은 숙성 치즈향부터 느껴진다. 감식초에서 느껴지는 부드러운 새콤함에서 시작하여 담백함을 거쳐 가벼운 단맛으로 터치감을 마무리한다.기존의 막걸리와 비슷한 듯 다른 식감을 가지고 있으며, 600ml의 비교적 작은 사이즈로 그립감이 좋은 막걸리라고 볼 수 있다. 무감미료 막걸리인 만큼 단맛은 비교적 적지만 거추장스러운 맛이 없어 오히려 깔끔하게 느껴진다. 피자 및 치킨, 그리고 떡볶이와 같이 기름지거나 강한 맛을 가진 음식에 추천한다."
