,맛_음식,상품명
288,"청양 둔송 구기주, 700ml, 16% 맑은 담황색의 빛을 가지고 있으며 익힌 식물향이 물씬 올라온다. 술을 입에 넣으면 바로 맛있고 독특한 단맛이 올라오는데 술이 오래 숙성됐을 때 나오는 캐러멜 맛과 같다. 신맛이 적어 술이 묵직하고 단맛의 여운이 길게 남는다. 양념된 고기류와 잘 어울린다.",청양 둔송 구기주
289,"해창 생 막걸리 9도 900ml, 9% 찹쌀의 감칠맛과 멥쌀의 센맛이 잘 어울어진 막걸리로 인위적이지 않은 원재료의 단맛이 있지만 강하지 않고 산미가 적당해 어떤 음식과도 잘 어울릴 수 있는 막걸리다. 전복구이랑 잘 어울린다.",해창 생막걸리 9도
290,"우곡생주, 750ml, 10% 진한 아이보리 빛깔을 갖고 있으며 은은하고 신선한 효모 발효향이 좋다. 일반 막걸리에 비해 물의 희석량이 적어 농도가 진하고 입 안에 가득 곡물가루 느낌이 강하다. 단맛을 기본으로하고 적절한 산미가 뒷맛을 산뜻하게 만들어주는 것이 특징이다. 마시고 난 후에 혀에 남는 텁텁함이 오히려 음식을 당기게 만든다. 불고기와 잘 어울린다.",우곡생주
291,"복분자주 750ml , 16% 여름에 잘 익은 과실향이 올라오고 단맛이 있고 신맛은 적으며 뒤에 남는 쓴맛이 음식과 잘 어울리게 한다. 연한 타닌이 혀를 자극시킨다. 불고기와 잘 어울린다.",복분자주
292,"원조 한산소곡주, 750ml, 16% 소곡주는 일명 앉은뱅이 술로 도수가 높지만 달콤해 상대적으로 순하고 부드러운 맛이 특징이다. 맑은 호박색을 가지고 있고, 진한 단맛이 매력적이며 입 안에 감도는 풍미가 술을 마시고 난 후에도 오래 남는다. 마실 때 온도를 낮춰(10도 정도) 마시는 것을 추천한다. 모시떡과 아주 잘 어울린다.",원조 한산소곡주
293,"오희 스파클링 막걸리, 500ml, 8.5% 술 빛이 붉은 오미자의 색을 그대로 닮았으며 고소한 향이 처음 강하게 올라왔다 사라지고 오미자의 신선한 향이 자리를 잡는다. 단맛이 적고 적절한 산미가 오미의 조화를 잘 갖추고 있으며 탄산이 있어 청량감이 좋고 목 넘김이 매우 깔끔하다. 장어구이와 잘 어울린다.",오희 스파클링 막걸
294,"평창 오디주, 360ml, 16% 검은 담황색의 술빛을 가지고 있으며 푹익은 과실향이 올라온다. 단맛은 적고 산미가 술 전체의 맛을 이끌어 간다. 첫 맛은 묵직하게 들어오지만 금새 사라지고 가볍게 느껴지는 맛이다. 술을 마시고 난 후에는 술을 언제 먹었냐는 듯 입 안에 깔끔하다. 감자전과 잘 어울린다.",평창 오디주
295,"내장산복분자주 360ml , 16% 산뜻하게 올라오는 달콤한 과실향이 좋고 단맛은 적으나 적절한 산미와 쓴맛이 있고 아주 약한 타닌이 입안을 자극시킨다. 소고기와 잘 어울린다.",복분자주 360
296,"홍삼진심 인삼주 375ml, 19% 일반 대중적인 소주의 맛이 나며 여기에 인삼의 맛과 색이 어울어진 증류주다. 바디감과 목넘김이 가벼워 부대찌개랑 잘 어울린다.",홍삼 진심 인삼주 2set
297,"뱅꼬레 화이트와인, 375ml, 11% 신선함을 무기로 한 화이트 와인. 후미에서 느껴지는 감귤계의 향이 있다. 천편일률적인 단맛이라고 생각했지만, 의외로 드라이한 것이 특징이다. 가벼운 샐러드, 카르파쵸, 가벼운 튀김류와도 잘 어울린다.",뱅꼬레 화이트와인
298,"쿨샷7.5, 300ml, 7.5% 분홍빛이 연하게 섞인 흑진주와 닮았다. 보통의 과실주에 비해 알코올 도수가 낮아 누구라도 편하게 즐길 수 있으며 복분자 과실향이 달콤함과 섞여 향만으로 술을 빨리 마셔보게 만드는 것이 특징인 술이다. 전체적으로 옅은 단맛이 중심을 잡고 있어 술을 잘 마시지 못하는 사람들도 편하게 마실 수 있다. 달콤한 케익 등과 잘 어울린다.",쿨샷7.5
299,"정고집 옛날 생동동주, 750ml/1,200ml, 6% 동동주답게 쌀이 동동 떠 있는 모습이 독특함. 단맛과 산미, 그리고 쌀의 담백함이 주는 밸런스가 좋은 막걸리이다. 두부김치, 부침개, 감자전 등과 곁들이면 청량한 맛을 자아내는 동동주의 풍미를 더욱 잘 느낄 수 있다.",정고집 옛날 생동동주
300,"예밀와인 로제, 750ml, 12% 붉은 흑진주를 닮은 색을 가지고 있으며 달콤한 발효 향이 코를 자극한다. 입 안에서 달콤함이 오랜 여운을 남겨 누구나 맛있게 즐길 수 있는 술이다. 이 술은 색에 한 잔 마시고 달콤함에 한 잔 마시고 그리고 기분 좋아 계속 마실 수 있는 술이다. 생일 등 축제에 사용하기 좋은 술로 달콤한 케익 등과 잘 어울린다.",예밀와인 로제
301,"시나브로 에뚜왈 스파클링와인, 750ml, 5% 산뜻한 레몬색을 가지고 있는 스파클링 와인이다. 과하지 않은 단맛과 산미가 맛의 축을 담당하고 있으며, 알코올 도수가 5도로 낮은 만큼 좋은 맥주 대용으로 즐기기에도 좋은 와인이다. 청량감 좋은 탄산으로 기름진 육류와도 잘 어울린다.",시나브로 에뚜왈 스파클링와인
302,"봉하쌀 생막걸리, 750ml, 6% 봉하쌀로 빚은 연한 살색의 막걸리다. 단맛보다는 은은한 산미가 매력적인 술이라 한 번 마시면 계속 마시게 된다. 첫 맛은 곡물이 두번째는 산뜻함이 세번째는 텁텁함이 술의 흐름을 만들어 준다. 술을 마시고 난 후에 여운이 길고 깨끗하다. 홍어무침 한접시에 날 새는지 모른다.",대대포 생막걸
303,"뉴트로, 600ml, 8% 디자인과는 다르게 구수한 미숫가루와 같은 색을 가지고 있다. 코에 잔을 대자 레몬의 향이 먼저 치고 올라오며 바로 라임의 향이 뒤따라 온다. 새콤한 맛에서 시작을 해서 달콤함을 거쳐 산뜻한 맛으로 마무리가 되는 전혀 막걸리스럽지 않은 독특한 맛이다. 마시고 난 후에는 살짝 목에서 따뜻함이 느껴질 정도로 일반 탁주에 비해서는 알코올 도수가 높다. 여름에 시원한 샐러드와 함께 즐긴다면 더할 나위 없고, 상큼함이 좋아 피자, 치킨 등 맥주 대용으로도 매력적이다.",뉴트로
304,"메밀로, 500ml, 45% 국내산 메밀을 원료로 만든 이색적인 술이다. 알코올이 45%로 높고 입안에 술을 머금고 있으면 휘발하면 매우 다채로운 향과 맛을 전해 준다. 목넘김 이후에도 입안에 묵직하고 힘 있게 잔향이 오래도록 남는다. 숙성을 좀 더 한다면 메밀 향과의 조화가 기대되는 술이다. 시원한 복지리탕이 생각난다.",메밀로
305,"병영설성 생막걸리, 750ml, 6% 고소한 곡물 볶는 향이 있고 단맛과 신맛의 균형이 잘 갖춰져 있다. 술이 가볍지 않고 묵직한 목 넘김이 특징이다. 약간 떫은 맛도 가지고 있는데 새우 간장 절임이나 남도 한정식과 잘 어울린다.",병영설성 생막걸
306,"모월 연, 500ml, 13% 엷은 노란빛깔을 갖고 있는 맑은 술로 쌉싸름한(조금 쓴맛이 있는) 맛이 특징적인 술이다. 전체적으로 단맛이 거의 없고 밀 누룩을 이용해 신선한 산미와 떫은 맛이 입 안을 풍만하게 적셔준다. 술을 마시고 난 후에도 여운이 오래 간다. 편한 일상속에서 저녁 식사와 함께하기 좋은 술이다. 두부의 담백함을 살린 음식들과 잘 어울린다.",모월 연
307,"청남대 블루베리 막걸리, 750ml, 6% 블루베리와 쌀의 조합이 매력적인 막걸리. 쌀 막걸리 특유의 누룩취를 블루베리의 향이 잘 잡았다는 느낌. 산뜻한 산미와 단맛이 있으며, 여운으로 블루베리의 향이 가볍게 느껴진다. 식중주보다는 입맛을 돋우는 역할로 식전주로 마시는 것을 추천한다.",청남대 블루베리 막걸
308,"기다림 맑은술, 500ml, 15% 가을의 화창한 하늘에 비친 황금빛 논밭이 생각나는 색. 좋은 곡물로 만든 기분 좋은 잔향이 살짝 느껴진다. 맛을 보면 의외의 반전이 있는데 달콤함이 먼저 치고 나온다는 것. 그리고 산미가 뒤를 이어 후미로 남는다. 다양한 맛이 살아있어서 매칭되는 음식도 여러가지를 즐길 수 있다. 기름진 곱창전골부터 맑은 탕인 연포탕 등도 좋은 궁합이다.",기다림 맑은술
309,"마주 소곡주, 500ml, 16% 다소 짙은 담황색을 가진 약주다. 향에서는 가벼운 새콤함이 올라오지만, 맛을 보는 순간 찹쌀이 주는 매끈함과 단맛이 그대로 올라오며 가벼운 신맛으로 마무리하며 식욕을 돋운다. 전체적으로 귀하게 빚었다는 느낌이 들며, 찹쌀의 단맛이 다소 강한 만큼 식전주나 식후주로 추천한다. 맛이 강한 음식과 함께 먹으면 이 술의 맛을 잘 못 느낄 수 있기 때문에 가급적 담백한 산채 요리 등이 잘 어울린다.",마주 소곡주
310,"걍즐겨, 600ml, 8% 석류의 붉은빛이 매력적으로 다가오는 색을 가지고 있다. 과실향에서 시작해 누룩향으로 마무리되는 복합적인 향을 가지고 있다. 석류의 새콤함보다는 쌀 특유의 발효된 맛이 오히려 압도를 하고 있으며, 과실의 맛은 오히려 마신 이후에 은은하게 남는 느낌이다. 다른 안주와의 궁합도 있겠지만, 이 막걸리만큼은 안주 없이 술만 마셔도 충분히 재미있게 즐길 수 있다.",걍즐겨
311,"유자 동동주, 750ml, 6% 노란색에 신선한 유자향이 올라온다. 단맛이 적고 신선한 산미가 유자의 느낌과 잘 어울린다. 술을 마시고 난 후에도 매우 개운하다. 산미와 신선함이 자칫 술 맛을 가볍게 만들 수 있는데 쌀과 밀을 함께 이용해 적절한 무게감을 갖게 만든다. 거제 멸치양념무침이면 그만이다.",유자 동동주
312,"별바랑, 375ml, 17.5% 진한 아이보리 빛깔의 술로 잘 익은 술에서 오는 캐러멜 맛이 입 전체를 감싼다. 단맛이 주를 이루지만 적절한 산미가 술의 느끼함을 없애주고, 찹쌀의 진한 여운이 오래 남는 술이다. 다른 막걸리에 비해 도수(15%)가 높아 음식먹을 때 약주잔에 한잔씩 하기 딱 좋은 술이다. 불고기가 생각나는 술이다.",별바랑
313,"율무 동동주, 750ml, 14% 라이트한 아이보리 컬러. 코를 대면 새콤한 사과향과 고운 누룩향이 서서히 올라온다. 도드라진 산미에서 시작해서 가벼운 청량감을 지나 마지막에는 드라이한 맛이 입속 천장을 치고 간다. 물리지 않는 적은 단맛이 매력적이지만 쌀이 주는 담백한 맛이 드라이함을 잘 감싸준다. 일반적인 한식 밥상에 잘 어울리는 술이며, 알콜올 도수가 14%로 일반 막걸리의 2배가 넘는 만큼 한여름에는 얼음을 넣어 온더록스로 한잔해도 충분히 제 역할을 하는 제품이다.",율무 동동주
314,"33JU 375ml, 18% 산양산삼 고유의 풍미가 진하게 느껴지고 부드러운 목 넘김으로 육사시미, 소고기구이, 회, 삼겹살과 잘 어울린다.",33JU
315,"미소아이스 375ml , 12% 술 빛이 붉고 맑은 것이 특징이며, 달콤한 베리향과 여름에 잘 익은 붉은 딸기향이 난다. 단맛이 강하지만 바디감이 가볍고 부드러운 목넘김이 좋다. 초콜릿과 잘 어울린다.",샤토미소 로제 스위트
316,"이동 생 쌀 막걸리 750ml, 6% 쌀과 쌀 누룩을 이용해 막걸리 빛이 희고 팽화미 특유의 고소한 맛과 향미가 있는 것이 특징이다. 적절한 산미가 음식맛을 도드라지게 한다. 갈비찜과 어울린다.",이동 생 쌀 막걸
317,향긋한 과실향이 물씬 올라와 코를 자극시킨다. 알코올 도수에 맞는 술 맛을 가지고 있으며 입에 넣는 순간 입 전체로 알코올이 퍼지는 느낌이 좋고 술을 마시고 난 후에 은은한 쓴맛이 음식을 부르게 만든다. 생굴과 잘 어울린다.,국순당 고구마증류소주 려(驪) 25도
318,"찰막걸리, 750ml, 5.5% 찹쌀을 주재료로 사용하는 여타의 막걸리와는 또 다른 독특한 맛을 보여준다. 드라이한 스타일을 찾는 분들에게는 너무 밋밋할 수 있고 탄산이 강한 막걸리를 좋아하는 분들에게도 아쉬울 수 있다. 하지만 그동안 진한 향과 맛이 부담스러웠고 탄산을 마시는 느낌이 싫어서 막걸리를 멀리했던 분들에게는 추천할만한 스타일이다. 막걸리 특유의 샘감을 가지고 있으며 입자가 고와 부드럽다. 대체로 매운 음식과 잘 어울린다.",찰막걸
319,"문희 (햇찹쌀수제전통주) 500ml, 13% 찹쌀에서 나오는 진한 단맛과 감칠맛이 특징이며, 전통 누룩의 사용으로 연한 아이보리 색이 특징이며, 단맛이 있지만 무겁게 느껴지지 않고 목넘김이 깔끔하다. 도토리 묵과 잘 어울린다.",문희 (햇찹쌀수제전통주) 500ml
320,"홍천강 탁주 500ml, 11% 연하게 올라오는 바닐라 향기가 술이 오래 숙성되었음을 말해주고, 청량미는 적으나 입안에 맴도는 깨끗한 산미가 음식을 부른다. 양념갈비와 잘 어울린다.",홍천강 탁주
321,"소백산 검은콩 막걸리 1,500ml, 1,200ml, 750ml , 6% 진한 아이보리 색에 검은 콩 가루를 눈으로 볼 수 있으며 곡물 볶은 향이 강하게 올라온다. 전체적으로 단맛이 강하고 산미는 적으며 입 안에 여운이 오래 간다. 두부요리와 잘 어울린다.",소백산 검은콩 막걸
322,"세종 알밤주 750ml, 6% 진하게 올라오는 곡물 볶은 향과 밤 향, 단맛이 강하고 산미가 적으며 입 안을 묵직하게 채우지만 목넘김은 깔끔하다. 야채 샐러드와 잘 어울린다.",세종 알밤주
323,"내장산다랭이팜 생 막걸리 (흑미) 750ml , 6% 흑미 특유의 팥 색을 가지고 있으며, 단맛은 적고 산미가 강하다. 입 안에서 느껴지는 떫은 맛이 특징이다. 목넘김이 부드럽다. 골뱅이 무침과 잘 어울린다.",다랭이팜 생 막걸리 (흑미)
324,"천마 이야기, 750ml, 6% 맑은 흰색의 막걸리로 쌀막걸리로 맛과 향이 잘 어우러져 있다. 탁하지 않은 질감에 목넘김이 좋다. 단맛을 포함하여 전체적으로 담백한 맛을 느낄 수 있다. 천마분말이 첨가 되었다는데 특유의 맛과 향을 구별하기는 어렵다. 육회 안주와 곁들이면 좋다.",천마 이야기 막걸
325,"다래와인 7004S, 750ml, 8% 맑은 황금색을 가지고 있으며 달콤하고 묵직한 향을 느낄 수 있다. 시음하기 전에 산소와의 접촉을 많이 하고 시음하는 것이 좋다. 단맛과 신맛이 잘 조화되어 있으며 산미로 인해 술맛이 매우 깔끔하게 느껴진다. 음식과 함께 편하게 먹을 수 있는 테이블 와인으로 적합하다.",다래와인 7004S
326,"베베마루 캠벨로제, 375ml, 12% 진한 붉은색을 가진 술이며 산소와의 접촉을 많이 해서 마시는 것이 좋다. 단맛이 입 전체를 채우고 뒤에 산미가 올라와 입 안을 깔끔하게 만들어준다. 목넘김은 매우 부드럽고 다 마신 후에도 잡맛이 없다. 맛있게 마실 수 있는 술이다. 케이크 등 디저트 음식과 함께하면 좋다.",베베마루 캠벨로제
327,"김천과하주, 700ml, 16% 맑은 황금빛의 술로 신선한 곡주향이 올라온다. 술을 입에 넣으면 단맛과 신맛 보다는 좋은 쓴맛이 입안 전체를 채운다. 목넘김은 매우 깔끔하고 술을 마시고 난 후에 입 안 전체에 쓴맛이 자리를 잡아 음식을 당기게 한다. 스테이크 등과 함께 하면 잘 어울린다.",김천 과하주 16도
328,"선운산의 아침 복분자막걸리, 750ml, 6% 은은하게 올라오는 익은 베리향이 일품이며 단맛과 신맛의 조화가 잘 어울어져 있다. 적절한 산미가 입 전체를 깔끔하게 만들어주고 술을 마시고 난 후에 혀에 남는 잔맛이 없어 전체적으로 가겹게 느껴진다. 양념을 강하게 하지 않은 생선찜과 잘 어울린다.",선운산의 아침 복분자막걸
329,"두레앙 증류주, 750ml, 35% 맑은 미색을 가지고 있으며 포도껍질향이 산뜻하게 올라온다. 첫 맛은 순하지만 바로 포도와 알코올에서 진한 맛이 입 전체를 채운다. 목넘김은 매우 부드럽고 술을 마시고 난 후에는 알코올이 혀를 자극하지만 혀에 시원함이 남는다. 과일 샐러드 등과 잘 어울린다.",두레앙 증류주
330,"자두와인 레드, 750ml, 12% 진한 진주빛에 붉은 과실에서 나는 과실향과 훈연된 향이 올라온다. 신맛과 단맛이 잘 갖춰져 있으며 전체적인 술맛은 산미가 대장 노릇을 한다. 술을 오픈하고 어느 정도 산소 접촉을 시키면 더욱 부드럽게 마실 수 있다. 산미가 있어 입에 침이 고이고 아주 깔끔하게 마실 수 있는 술이다. 피자 등과 잘 어울린다.",자두와인 레드
331,"금산인삼주, 375ml, 12.5% 연한 황갈색의 술빛을 가지고 있으며 인삼향이 물씬 올라온다. 입 안에 넣으면 단맛 보다는 산미가 많이 느껴지고 목넘김은 매우 가볍다. 술을 마시고 난 후에 입 안에 남는 미세한 쓴맛이 음식을 당기게 한다. 양념 돼지갈비 등 양념한 고기류와 잘 어울린다.",금산인삼주
332,"면천두견주 360, 360ml, 18% 면천두견주는 짙은 담황색을 띄고 있으며 진달래향과 함께 손에 닿으면 끈적할 정도로 단 맛이 일품이다. 알코올 도수가 18도로 발효 약주 가운데서는 비교적 높은 편이지만 알코올 향을 느낄 수 없을 정도로 부드럽게 목을 넘어간다. 신맛과 누룩향이 거의 없어 약주 특유의 맛을 기피했던 젊은 층이 좋아할 맛이다. 진달래 화전이나 은행구이 등 담백한 음식과 곁들이면 좋다.",면천두견주 360
333,"금산인삼주 수삼단본 720ml, 23% 맑고 투명한 증류주에 인삼이 들어있어 술을 따르면서 아주 신선한 인삼향기가 올라온다. 입에 넣으면 알코올이 입술과 혀를 자극시키고 서서히 인삼의 쓴맛이 기분 좋게 올라온다. 역시 인삼주는 삼계탕과 함께 해야 제 맛이 난다.",금산인삼주 수삼단본 720ml 23도
334,"한스오차드 사과와인, 750ml, 11% 의성 사과의 풍미가 그대로 들어나는 아이스 와인 기법의 사과와인. 달콤함이 너무 길지 않게 깔끔하게 떨어지는 것이 특징이다. 사과 본연의 맛이 좋아 식전 또는 식후에 한잔 곁들이면 좋다. 단맛이 있어 식중주보다는 치즈 및 과일 안주하고 잘 어울린다.",한스오차드 사과와인
335,"백련 생막걸리 snow 750ml, 6% 색은 희고 맑으며 은은하게 올라오는 달콤한 향기와 신선한 식물향이 난다. 전체적으로 오미의 균형을 잘 갖추고 있으며 목넘김이 매우 깔끔하다. 숯불바베큐와 잘 어울린다.",백련 생막걸리 snow (스노우)
336,"무주 구천동 산머루주, 750ml, 16% 짙은 담갈색 빛을 가지고 있으며 익의 과실의 껍질에서 나는 향이 올라온다. 단맛과 신맛의 조화가 잘 갖춰있지만 술을 마시고 난 후에는 단맛의 여운이 오래 남는다. 생선 조림과 잘 어울린다.",무주 구천동 산머루주
337,"도문대작 생막걸리, 750ml, 10% 튀지 않고 은은하게 올라오는 곡물 발효향이 좋고, 단맛이 적고 적절한 산미가 입 안의 느낌을 매우 깔끔하게 만들어 준다. 타 막걸리에 비해 도수가 높지만(10%) 자극적이지 않고 목 넘김이 부드럽다. 갈비찜과 잘 어울린다.",도문대작 생막걸
338,"애피소드 애플, 500ml, 3.5% 사과의 맛이 그대로 나타나는 사과쥬스와 탄산의 조합. 발효취나 군더더기 맛이 없는 무난한 과실주이다. 청량감이 좋아 새우, 호박, 감자, 고구마, 오징어, 감자 등의 튀김류와 좋다.",애피소드 애플
339,"김포별주, 500ml, 13% 맑고 투명한 황금빛의 색을 가지고 있으며, 고소한 옥수수에 달콤함이 섞여 은은한 향이 올라온다. 입에 넣으면 단맛이 입 전체를 꽉 채우지만 시간이 지나면서 바로 사라지고 산미가 자리를 잡아 입 안을 깔끔하게 만들어 준다. 목 넘김이 깔끔하고 입 안이 상쾌한 것이 특징이다. 주꾸미 볶음과 잘 어울린다.",김포별주
340,"계룡산 산삼주 금수강산 40%, 740ml, 40% 증류주에 산양산삼이 침출되어 있어 보는 즐거움과 함께 마실 수 있는 것이 특징이다. 같은 술에 계룡산산양산삼주는 21%로 도수를 낮춰 대중적으로 만들었고, 금수강산은 알코올 도수 40%로 오래 두고 약으로 마실 수 있는 술이다. 향을 맡는 것 보다는 입 안에 술을 넣으면 삼의 향이 강하게 느껴지며 마시고 난 후에는 삼의 쓴 여운이 길게 남는다. 삼계탕과 잘 어울린다.",계룡산 산삼주 금수강산 40%
341,"혼디주, 330ml, 25% 시트러스한 향이 그대로 느껴지는 술. 향기로운 제주도 특유의 감귤 맛이 향과 맛, 그리고 식감 전체에 살아있으며 특히 마시고 난 여운에서 기분 좋은 신맛이 계속 남는다. 제주도 흑돼지 구이와 즐긴다면 기름진 부분을 잘 잡아줄 것으로 보인다.",혼디주
342,"백자주, 500ml, 10% 진한 아이보리 색을 가지고 있으며 독특한 단맛의 향이 은은하게 올라온다. 새콤달콤한 맛이 입을 꽉 채우고 잣 달인 물을 이용해 입 안의 풍미가 좋다. 목 넘김이 깔끔하고 마시고 난 후에 남는 술의 여운이 길다. 골뱅이, 소라 등 무침류와 잘 어울린다.",백자주
343,"미소 생막걸리, 750ml, 7% 향에서는 구운 쌀과 같은 고소함이, 맛에서는 특유의 개운함이 살아있다. 울진의 짜릿하게 맑은 하늘과 청정 지역이 떠오른다. 안주는 울진의 음식인 대게 또는 홍게찜과도 좋다.",미소 생막걸
344,"청산녹수 생탁주, 750ml, 6% 쌀 뻥튀기의 고소한 향이 매력적인 막걸리다. 입에 넣으면 단맛 보다는 적절한 산미와 쓴맛이 느껴지고 목넘김이 부드럽고 옅은 쓴맛이 입 안을 꽉 채워준다. 단맛이 적어 다양한 음식과의 조화를 만들 수 있다. 닭도리탕이나 양념된 고기류와 잘 어울린다.",청산녹수 생탁주
345,"감그린 레귤러, 750ml, 12% 가벼운 청포도향과 감 특유의 가벼운 탄닌감이 살아있는 맛이다. 감 특유의 떫은 맛이 있어 기름진 음식과도 궁합이 괜찮다. 다만 자극성 적은 소고기류가 좋다.",감그린 레귤러
346,"마셔블랑, 750ml, 12% 황금빛의 은은한 색깔이 매력적인 와인. 감귤의 향긋한 향이 그대로 살아있는 와인. 목 넘김에서 느껴지는 상쾌한 향이 입안을 기분 좋게 만든다. 후미는 길지 않은 편이나, 입안에서 맴도는 감귤의 여운으로 은근히 제주도의 푸른 바다가 떠오른다. 맛과 향을 방해하지 않는 가벼운 샐러드와 즐기면 이 술의 매력을 더욱 잘 느낄 것이다.",마셔블랑
347,"안성마춤 생막걸리, 1,000ml, 6% 생쌀발효법 특유의 가볍고 경쾌한 맛이 특징. 향을 자세히 맡아보면 바나나 우유와 같은 향이 느껴진다. 가벼운 맛을 자랑하는 만큼 묵직한 고기류하고도 잘 맞는다. 불고기, 육전, 오징어와 새우를 듬뿍 넣은 기름진 해물파전도 좋다.",안성마춤 생막걸
348,"르깔롱, 500ml, 16% 맑은 에메랄드 빛깔을 가진 술로 멜론 향기가 진하게 올라온다. 도수가 높지만 단맛이 강해 목넘김이 매우 깔끔하고 입 안에 느껴지는 달콤한 코코넛의 느낌이 술을 계속 마시게 만들어 준다. 아주 차게 마시는 것 보다는 온도가 올라가면서 느껴지는 다양한 향을 즐기면서 마시기 좋은 술이다. 특별한 안주보다는 열대과일과 아주 잘 어울린다.",르깔롱
349,"해방주 18.8%, 375m,18.8% 연한 방풍잎을 이용한 증류주로 물처럼 맑고 투명하다. 도수에 비해 단맛이 있어 부드러우며 연하게 올라오는 산뜻한 잎의 느낌이 매우 좋다. 기름기 있는 전과 아주 잘 어울린다.",해방주 18.8%
350,"감악산머루주, 360ml, 12% 잘 익은 머루 특유의 검붉은 색을 가지고 있다. 묵직한 병에서 느껴지는 권위적인 분위기와는 달리, 뚜껑을 열면 달콤한 향이 이 술이 가진 스위트함을 느끼게 해 준다. 첫 느낌은 단맛으로 시작되지만 마지막은 식욕을 불러오는 산미로 잘 마무리된다. 파주의 술인 만큼 임진강에서 잡히는 메기, 참게 요리와 잘 어울릴 듯하며, 흑염소, 오리로스구이 등 보양식과도 좋은 궁합이다. 와인을 잘 못 마신다면, 추천하고 싶은 과실주이기도 하다.",감악산 머루주
351,"천년주, 375ml, 25% 천년초 열매를 넣은 옅은 핑크 색깔을 가진 약용증류주이다. 25%의 알코올 도수에 비해 상당히 부드러우며 입 안의 느낌이 매우 산뜻하고 여운이 길다. 제주 고사리와 섞은 고기류와 잘 어울린다.",천년주
352,"오산막걸리, 500ml, 6% 진한 아이보리 빛깔의 막걸리로 독특한 산미가 일품이다. 술 맛은 전체적으로 단맛 보다 진한 산미가 술의 목넘김과 여운을 깔끔하게 만들어 준다. 술을 마시고 난 후에도 개운하고 아주 약하게 남는 곡물의 느낌이 음식과의 조화를 잘 갖추게 해준다. 고기류 보다는 홍어나 오징어 등 무침류와 잘 어울린다.",오산막걸
353,"모을동주 소주, 350ml, 43% 기분 좋은 담황색을 띠고 있는 소주다. 마치 하늘에서 내리는 꽃비와 같은 경쾌한 색이다. 새콤한 맛에서 시작하지만 이내 뭉근한 터치감이 입속을 장식하고 마무리는 부드러운 단맛으로 마무리되는 느낌이 이 술이 가진 고급성을 그대로 나타낸다. 뭉근한 맛으로 안주 없이 술만 즐겨도 충분한 매력이 있으며, 음식과 같이 즐긴다면 비교적 자극이 적은 잡채 및 경단 등을 추천한다. 차갑게 마시는 것을 추천하며, 입속에 남는 찹쌀 특유의 단맛이 매력적이다.",모을동주 소주
354,"모을동주 약주, 375ml, 13% 기분 좋은 담황색을 띠고 있는 약주다. 마치 하늘에서 내리는 꽃비와 같은 경쾌한 색이다. 새콤한 맛에서 시작하지만 이내 뭉근한 터치감이 입속을 장식하고 마무리는 부드러운 단맛으로 마무리되는 느낌이 이 술이 가진 고급성을 그대로 나타낸다. 뭉근한 맛으로 안주 없이 술만 즐겨도 충분한 매력이 있으며, 음식과 같이 즐긴다면 비교적 자극이 적은 잡채 및 경단 등을 추천한다. 차갑게 마시는 것을 추천하며, 입속에 남는 찹쌀 특유의 단맛이 매력적이다.",모을동주 약주
355,"시나브로 레드 스위트, 750ml, 12% 레드 와인보다 로제 와인으로 보일 만큼 청아하고 투명한 색을 가지고 있다. 캠벨 특유의 기분 좋은 단맛이 맛을 이끌며, 후미에서도 단맛이 남지 않아 청량감도 느껴지는 와인이다. 누가 즐겨도 편안하고 무난하게 즐길 수 있는 맛이며, 달콤한 맛이 특별한 만큼 좋은 식사를 기분 좋게 마무리하는 역할로 식후주로 추천하고 싶다.",시나브로 레드 스위트
356,"가덕 순쌀 막걸리, 750ml, 6% 순쌀이 주는 부드러움 느낌과 천연탄산에서 느껴지는 경쾌함이 있다. 다양한 음식과 잘 어울리는 전천후적인 매력이 있다. 미나리전, 고기 빈대떡, 오이무침, 족편 등 안주와 곁들이면 좋다.",가덕 순쌀 막걸
357,"샤토미소 영동, 200ml, 40% 가볍게 오크통에서 숙성한 듯 황금색을 띠고 있다. 알코올 도수 40도의 높은 도수지만, 원액에서 묻어나오는 포도향과 가벼운 화이트 초콜릿 향이 느껴진다. 알코올 도수 40도를 생각하면 무척 부드러운 맛을 자랑하며, 마지막 후미에서 살짝 산미가 느껴지는 부분이 매력적이다. 기름진 메로구이 등이 생각나는 맛이다.",샤토미소 영동
358,"포엠 로제와인, 750ml, 12% 레드 다이아몬드의 색을 가진 와인. 향이 바로 치고 오지는 않지만, 잔잔히 올라오는 포도향이 좋다. 살짝 입을 대면 향에서 숨겨졌던 잘 익은 포도 맛이 그대로 올라온다. 떫은맛, 타닌감, 산미는 지극히 적지만, 이 맛 하나로도 충분히 맛을 표현하고 있다. 단맛이 많은 만큼 식중주보다는 식전 주나 식후 주를 추천하고 싶으며, 드레싱 없이 생야채만 함께 즐긴다면 이 와인의 특징을 느낄 수 있을 것이다.",포엠 로제와인
359,"매실향기 담은 술, 500ml, 14% 여름 과실인 매실이 들어간 만큼 상큼한 청량감이 느껴진다. 약주계열이지만 곡주 및 약재의 느낌은 거의 느껴지지 않는다. 다만 후미에서 느껴지는 곡물의 향은 있다. 잘 익은 매실을 청주에 담은 그 느낌 그대로다. 소고기 전골 등, 육류와 잘 어울린다.",매실향기 담은 술
