,상품명,주종,도수,용량,가격,원재료,제조사,대표자명,주소,연락처,온라인스토어,홈페이지,우리술 품평회,가격수정
277,오목대,기타주류,5%,1000ml,"￦27,000(1000ml*3병)(가격은 판매처 별로 상이할 수 있습니다)","보리(국내산), 
                                        맥아(국내산), 
                                        말토텍스트린, 
                                        호프펠렛, 
                                        효모, 
                                        정제효소제, 
                                        정제수",농업회사법인 동문거리양조장(주) (전주술로시티),유상우,전북 전주시 완산구 동문길99,010-3677-3338,https://shopping.naver.com/fresh/traditionalalcohol/stores/100275247,,,27000
278,모월 로,증류식소주,25%,500ml,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        누룩, 
                                        정제수",협동조합 주담,김원호,강원도 원주시 판부면 판부신촌길 84,033-748-8008,,http://www.mowall.co.kr,,25000
279,산내울 사과애주,리큐르,16%,750ml,"￦14,000 (가격은 판매처 별로 상이할 수 있습니다)","사과, 
                                        설탕, 
                                        주정, 
                                        정제수, 
                                        과당",거창사과원예농협,윤수현 조합장,경남 거창군 거창읍 거함대로 3452-41,055-945-2544,,http://kcapple.nonghyup.com,,14000
280,배도가 로아 19 레드,일반증류주,19%,350ml,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)",사과(국내산),주식회사 배혜정 농업회사법인,김백규,경기도 화성시 정남면 서봉로 835,031-354-9378,https://smartstore.naver.com/baedoga,,,10000
281,호랑이 생 막걸리,탁주,6%,750ml,"￦2,200 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 정제수, 국, 효모, 젖산 등",배혜정 도가,배혜정,경기도 화성시 정남면 문학리 674-23,02) 3462-7328,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069102,,,2200
282,야관문 쌀 막걸리_750ml,탁주,6%,750ml,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        종국, 
                                        정제수, 
                                        누룩, 
                                        효모, 
                                        야관문",지리산그린영농조합 운봉주조,최규창,전라북도 남원시 운봉읍 황산로 1018,063-634-0009,,https://herbsul.modoo.at/,,1500
283,자연담은 복분자막걸리_360ml,살균탁주,6%,360ml,"￦56,000(360ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)","복분자, 
                                        쌀, 
                                        효모, 
                                        국, 
                                        과당, 
                                        구연산, 
                                        젖산, 
                                        정제수",(농)국순당고창명주(주),김영동,전북 고창군 심원면 선운대로 2197,063-564-9800,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077970,,,56000
284,아이싱 자몽(iCing Grapefruit),탁주,4%,"350ml, 
                                        300ml","CAN ￦1,300, 
                                        BOTTLE ￦5,000(가격은 판매처 별로 상이할 수 있습니다)","쌀, 
                                        자몽엑기스",국순당,배중호,강원도 횡성군 둔내면 강변로 974,02-513-8500,,http://www.ksdb.co.kr,,5000
285,지평 생 쌀막걸리,탁주,5%,700ml,"￦1,650 (가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 정제수, 국, 효모, 정제효소 등",지평주조,김기환,경기 양평군 지평면 지평의병로62번길 27,031) 773-7030,,http://jpjujo.modoo.at/,,1650
286,그랑꼬또 M56,과실주,12%,750ml,"￦21,000(가격은 판매처 별로 상이할 수 있습니다.)",포도(캠벨얼리),그린영농조합법인,김지원,경기도 안산시 단원구 뻐꾹산길 107(대부북동),032-886-9873,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113491,,,21000
287,평창머루주_360ml,과실주,16%,360ml,"￦19,500(360ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)",국내산 산머루,농업회사법인(주)홍지원,박종린,강원도 평창군 평창읍 농공단지길 24-14,033-332-8500,https://shopping.naver.com/fresh/traditionalalcohol/stores/100214392,,,19500
288,청양 둔송 구기주_700ml,약주,16%,700ml,"￦23,000(700ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        누룩, 
                                        구기자, 
                                        감초, 
                                        두충껍질",청양 둔송 구기주,임영순,충남 청양군 운곡면 추광길 2-10,041-942-8138,,https://dunsong.modoo.at/,,23000
289,해창 생 막걸리 9도,탁주,9%,900ml,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)","햅쌀, 찹쌀, 물, 누룩",해창주조장,김순례,전남 해남군 화산면 해창길1,061) 532-5152,,http://haechangjujo.modoo.at/,,6000
290,우곡생주,탁주,10%,750ml,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        국, 
                                        효모, 
                                        정제수",배혜정도가,배혜정,경기도 화성시 정남면 문학리 674-23,02-3462-7328,,https://baedoga.modoo.at,,6500
291,명가원 복분자술,과실주,16%,750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)","복분자 37.65%, 주정, 정제수, 구연산, 호박산, 정제식염, 액상과당, 효모, 설탕",명가원영농조합법인,정천상,경남 함양군 지곡면 지곡창촌길3,055) 963-8992,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074038,,,20000
292,원조 한산소곡주_750ml,약주,16%,750ml,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다)","찹쌀, 
                                        멥쌀, 
                                        누룩, 
                                        대두, 
                                        구절초",원조소곡주,이홍기,충남 서천군 한산면 한마로34,041-951-0785,,http://www.원조소곡주.com/,,12000
293,오희 스파클링 막걸리,탁주,8.5%,500ml,"￦36,000(500ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)","백미, 
                                        건오미자, 
                                        조효소제, 
                                        효모, 
                                        정제수",문경주조,홍승희,경북 문경시 동로면 노은1길 49-15,070-7123-2130,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113504,,,36000
294,평창 오디주_360ml,과실주,16%,360ml,"￦19,500(360ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)",국내산 오디,농업회사법인(주)홍지원,박종린,강원도 평창군 평창읍 농공단지길 24-14,033-332-8500,https://shopping.naver.com/fresh/traditionalalcohol/stores/100214392,,,19500
295,복분자주 360,과실주,16%,360ml,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)","복분자, 주정, 정제수, 설탕 등",내장산 복분자 영농조합,최성호,전북 정읍시 북면 장학 1길,063) 536-8080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100083195,,,6000
296,홍삼진심 인삼주 (2set),일반증류주,19%,375ml,"￦14,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 정제주정, 인삼침출액, 홍삼농축액, 고과당 등",태평주가,이영춘,전북 진안군 진안읍 거북바위로 3길 15-35,063) 433-0078,https://shopping.naver.com/fresh/traditionalalcohol/stores/100089097,,,14000
297,뱅꼬레화이트_375ml,과실주,11%,375ml,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)",양조용포도(경북 영천),(주)한국와인,하형태,경북 영천시 금호읍 창산길 100-44,054-333-3010,https://shopping.naver.com/fresh/traditionalalcohol/stores/100172559,,,23000
298,쿨샷7.5,과실주,7.5%,300ml,"￦60,000(300ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)","복분자과실, 
                                        주정, 
                                        효모, 
                                        구연산, 
                                        정제수",농업회사법인 고창선운산(유),주순덕,전북 고창군 심원면 심원로 270-73,061-561-6855,https://shopping.naver.com/fresh/traditionalalcohol/stores/100168768,,,60000
299,정고집 옛날 생동동주,탁주,6%,"750ml / 1,200ml","￦18,000(750ml*10병), 
                                        ￦28,000(1,200m*10병)(가격은 판매처 별로 상이할 수 있습니다)","쌀, 
                                        쌀가루(국내산), 
                                        조제종국, 
                                        정제효소, 
                                        젖산, 
                                        아스파탐, 
                                        아세셀팜칼",남도탁주,정내진,전남 나주시 노안면 노안로379,010-2718-2577,,https://namdotakju.modoo.at/,,18000
300,예밀와인 로제,과실주,12%,750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)",포도(캠벨얼리),예밀2리영농조합법인,정정근,강원도 영월군 김삿갓면 예밀촌길 228-20,033-375-3720,,http://www.yemilchon.co.kr/,,20000
301,시나브로 에뚜왈 스파클링와인,과실주,5%,750ml,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)",포도(청수),불휘농장,이근용,충북 영동군 심천면 약목2길26,043-742-5275,,,,30000
302,봉하쌀 생막걸리,탁주,6%,750ml,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        정제효소, 
                                        젖산, 
                                        효모, 
                                        아스파탐, 
                                        정제수",농업회사법인 (주)죽향도가,장유정,전남 담양군 담양읍 외다길30,061-381-8700,,https://dyricewine.modoo.at/,,2000
303,뉴트로,탁주,8%,600ml,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)","찹쌀(국내산), 
                                        멥살(국내산), 
                                        누룩, 
                                        레몬, 
                                        라임, 
                                        잉글리쉬블랙퍼스트, 
                                        정제수",디오케이브루어리,이규민,"서울특별시 강북구 삼양로 455, 1층",010-2481-4707,,https://www.instagram.com/dokbrewery/,,6000
304,메밀로,일반증류주,45%,500ml,"￦150,000 (가격은 판매처 별로 상이할 수 있습니다)","국내산쌀, 
                                        메밀, 
                                        누룩, 
                                        정제수",농업회사법인 두루(주),김경찬,강원도 홍천 내촌면 용포길 31-25,070-4156-9090,https://shopping.naver.com/fresh/traditionalalcohol/stores/100441845,,,150000
305,병영설성 생막걸리,탁주,6%,750ml,"￦3,500 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        효모, 
                                        누룩, 
                                        정제수",병영양조장,김견식,전남 강진군 병영로 하멜로 407,061-432-1010,,https://byjujo.modoo.at/,,3500
306,모월 연,약주,13%,500ml,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        누룩, 
                                        정제수",협동조합 주담,김원호,강원도 원주시 판부면 판부신촌길 84,033-748-8008,,http://www.mowall.co.kr,,18000
307,청남대 블루베리 막걸리,탁주,6%,750ml,"￦25,000(750ml*9병)(가격은 판매처 별로 상이할 수 있습니다)","국내산 쌀, 
                                        블루베리엑기스, 
                                        효모, 
                                        조효소재, 
                                        물엿, 
                                        아스파탐, 
                                        정제수",농업회사법인 명세주가(주),오웅진,충북 청주시 상당구 가덕면 한계길 32-5,043-297-6122,,https://mssool.co.kr/,,25000
308,기다림 맑은술,약주,15%,500ml,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)","멥쌀(국내산), 
                                        찹쌀(국내산), 
                                        곡자(밀누룩 국내산), 
                                        정제수",농업회사법인(주)제이케이크래프트,조태영,부산광역시 동래구 사직북로48번길 34,010-2226-8523,,http://www.gidarim.co.kr/,,25000
309,마주 소곡주,약주,16%,500ml,"￦17,000 (가격은 판매처 별로 상이할 수 있습니다)","찹쌀(국내산), 
                                        백미(국내산), 
                                        모싯잎, 
                                        우리밀 누룩, 
                                        정제수, 
                                        효모",옥순가 소곡주 마주,고종만,충청남도 서천군 서초면 시초동로 88-1,010-5094-8267,https://smartstore.naver.com/oksoonga/products/4785125963,,,17000
310,걍즐겨,탁주,8%,600ml,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)","찹쌀(국내산), 
                                        멥살(국내산), 
                                        누룩, 
                                        석류, 
                                        히비스커스, 
                                        정제수",디오케이브루어리,이규민,"서울특별시 강북구 삼양로 455, 1층",010-2481-4707,,https://www.instagram.com/dokbrewery/,,6000
311,유자 동동주,탁주,6%,750ml,"￦1,100 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        소맥분(미국산), 
                                        전분당, 
                                        정제수, 
                                        유자과즙, 
                                        치자, 
                                        정제효소, 
                                        종국, 
                                        효모, 
                                        젖산, 
                                        아스파탐",성포양조장,원태연,경남 거제시 사등면 지석3길3,010-3589-5134,,http://성포양조장.kr,,1100
312,별바랑,약주,17.5%,375ml,"￦27,000 (가격은 판매처 별로 상이할 수 있습니다)","찹쌀(국내산), 
                                        맵쌀(국내산), 
                                        누룩(1%), 
                                        정제수",농업회사법인 (주)금계당,서규리,"경북 안동시 일직면 돌고개길 9, 1층",054-853-0128,https://shopping.naver.com/fresh/traditionalalcohol/stores/100501006/products/4652343283,,,27000
313,율무 동동주,탁주,14%,750ml,"￦14,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        누룩, 
                                        효모, 
                                        연천 율무, 
                                        정제수",농업회사법인 연천양조(주),박용수,경기도 연천군 마산면 청정로 1738번길 15,031-833-3775,https://smartstore.naver.com/ycbrewery/products/4838388236,,,14000
314,33JU,일반증류주,18%,500ml / 200ml,"￦49,000 / ￦23,000 (가격은 판매처 별로 상이할 수 있습니다)","산양산삼, 
                                        주정, 
                                        결정과당, 
                                        효소처리스테비아, 
                                        에리스리톨, 
                                        호박산, 
                                        꿀",농업회사법인 33가 주식회사,최종철,강원도 홍천군 남면 어두원이길 143,010-4358-1518,https://smartstore.naver.com/33gacompany/,,,49000
315,샤토미소 스위트 로제,과실주,12%,375ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)","포도, 산화방지제, 효모, 설탕 등",도란원,안남락,충북 영동군 매곡면 유전 장척길 143,043) 743-2109,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069001,,,20000
316,이동 생 쌀 막걸리,탁주,6%,750ml,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)","정제수, 백미, 팽화미, 입국, 아스파탐 등",이동주조,"이규범, 이석범",경기도 포천시 이동면 화동로 2466,031) 535-2800,,http://edongricewine.modoo.at/,,1300
317,려(驪)고구마증류소주 25도,증류식소주,25%,500ml,"백화점 35,000 원(가격은 판매처 별로 상이할 수 있습니다)",고구마(여주산 100%),(농)국순당 여주명주(주),박용구,경기도 여주시 강천면 부평로 330,080-0035-100,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074039,,,35000
318,찰막걸리 750ml,살균탁주,5.5%,750ml,"1Box(750ml*20병) ￦30,000(가격은 판매처 별로 상이할 수 있습니다.)","정제수, 
                                        쌀, 
                                        밀가루, 
                                        찹쌀, 
                                        입국, 
                                        효모 정제효소제, 
                                        아스파탐",(주)1932 포천일동막걸리,김응탁,경기도 포천시 일동면 운악청계로 1597,031-532-3007,https://shopping.naver.com/fresh/traditionalalcohol/stores/100159599,,,30000
319,문희 '햇찹쌀 수제 전통주',살균탁주,13%,500ml,"￦15,000 (가격은 판매처별로 상이할 수 있습니다.)","유기농찹쌀 (국산), 멥쌀 (국산), 전통누룩 (우리 밀), 정제수",문경주조,홍승희,경상북도 문경시 동로면 노은리 192,054) 552-8252,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113504,,,15000
320,홍천강 탁주,탁주,11%,500ml,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)","홍천 쌀, 정제수, 국(밀 누룩)",예술,정회철,강원도 홍천군 내촌면 물걸리 508-2,033) 435-1120,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076877,,,10000
321,소백산 검은콩 막걸리,탁주,6%,"1,500ml, 1,200ml, 750ml","￦3,000 / 2,500 / 1,800 (가격은 판매처 별로 상이할 수 있습니다.)","백미, 소맥분, 검은콩, 검은깨 등",대강양조장,조국환,충북 단양군 대강면 장림리 113-7,043) 422-0900,,http://krwine.modoo.at/,,3000
322,세종 알밤주,기타주류,6%,750ml,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)","정제수, 백미, 소맥분, 알밤(국내산), 전분당, 효모, 젖산 등",조은술 세종,경기호,충북 청주시 청원구 사천로 18번길 5-2,043) 218-7689,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068990,,,1500
323,다랭이팜 생 막걸리 (흑미),탁주,6%,750ml,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)","남해산 유기농 현미, 누룩, 효모 등",다랭이팜,이창남,경남 남해군 남면 홍현리 897번지,055) 862-3998,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077740,,,4000
324,천마 이야기_750ml,탁주,6%,750ml,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)","팽화미, 
                                        입국미, 
                                        무주천마분말, 
                                        오미자추출액",농업회사법인산들벗(주),정무균,전라북도 무주군 적상면 서창로 72,063-322-9447,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074042,,,1500
325,다래와인 7004S_750ml,과실주,8%,750ml,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)",참다래,영농조합법인 오름주가,조현국,경상남도 사천시 미룡길 31-20,055-855-3626,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077883,,,18000
326,베베마루 캠벨로제_375ml,과실주,12%,375ml,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)",포도(캠벨얼리 100%),월류원,박천명,충북 영동군 황간면 남성동3길 4-14,010-2466-7789,,https://bebemaru.modoo.at/,,20000
327,김천과하주 16도_700ml,약주,16%,700ml,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 
                                        누룩, 
                                        샘물, 
                                        황국잎",김천 과하주,송강호,경북 김천시 대항면 괘방령로 1178-4,054-436-4461,,https://gwahaju.modoo.at/,,20000
328,선운산의 아침 복분자막걸리_750ml,살균탁주,6%,750ml,"￦28,000(500ml*12병)(가격은 판매처 별로 상이할 수 있습니다.)","복분자, 
                                        쌀, 
                                        효모, 
                                        국, 
                                        과당, 
                                        구연산, 
                                        젖산, 
                                        정제수",(농)국순당고창명주(주),김영동,전북 고창군 심원면 선운대로 2197,063-564-9800,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077970,,,28000
329,두레앙 증류주_750ml,일반증류주,35%,750ml,"￦35,000(가격은 판매처 별로 상이할 수 있습니다.)",거봉포도원액,농업회사법인(주)두레양조,권혁준,충남 천안시 서북구 입장면 율목길17-6,041-585-8213,,https://dureang.modoo.at/,,35000
330,자두와인 레드_750ml,과실주,12%,750ml,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)",피자두,자두사랑,전경재,경상북도 김천시 대학로 214,054-420-4155,,https://jadusarang.modoo.at/,,22000
331,금산인삼주_375ml,약주,12.5%,375ml,"￦12,000(375ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        인삼, 
                                        누룩, 
                                        정제수 등",농업회사법인(주)금산인삼주,최언년,충남 금산군 금성면 파초길 23,041-754-3313,https://shopping.naver.com/fresh/traditionalalcohol/stores/100075518,,,12000
332,면천두견주 360ml,약주,18%,360ml,"￦32,000(360ml*4병)(가격은 판매처 별로 상이할 수 있습니다.)","국내산 찹쌀, 
                                        누룩, 
                                        진달래꽃",(주)면천두견주,김현길,충남 당진시 면천로 성하로 250,041-355-5430,,http://www.면천두견주.한국,,32000
333,수삼단본 23도_720ml,일반증류주,23%,720ml,"￦32,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        인삼, 
                                        누룩, 
                                        정제수 등",농업회사법인(주)금산인삼주,최언년,충남 금산군 금성면 파초길 23,041-754-3313,https://shopping.naver.com/fresh/traditionalalcohol/stores/100075518,,,32000
334,한스오차드 사과와인,과실주,11%,750ml,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)",국산사과원액 100%,(주)한국애플리즈,한임섭,경북 의성군 단촌면 일직점곡로 755,054-834-7800,https://shopping.naver.com/fresh/traditionalalcohol/stores/100186401,,,20000
335,백련 생막걸리 snow,탁주,6%,750ml,"￦1,600 (가격은 판매처 별로 상이할 수 있습니다.)","백미, 연잎, 정제수, 종국, 효모, 아스파탐, 물엿 등",신평양조장,김동교,충남 당진시 신평면 신평로 813,041) 362-6080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074045,,,1600
336,무주 구천동 산머루주_750ml,과실주,16%,750ml,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)",국내산 산머루,덕유양조,이재국,전북 무주군 안성면 장무로 1375-7,063-323-2355,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077965,,,15000
337,도문대작 생막걸리,탁주,10%,750ml,"￦3,000(가격은 판매처 별로 상이할 수 있습니다.)","강릉 쌀, 
                                        누룩, 
                                        갯방풍나물, 
                                        정제수",방풍도가,이기종,강원도 강릉시 미노길 103,010-6380-3963,,http://www.bangpungdoga.com,,3000
338,애피소드 애플,과실주,3.5%,500ml,"￦21,000(500ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)","사과와인, 
                                        정제주정, 
                                        정제수, 
                                        사과농축액, 
                                        고과당",(주)한국애플리즈,한임섭,경북 의성군 단촌면 일직점곡로 755,054-834-7800,https://shopping.naver.com/fresh/traditionalalcohol/stores/100186401,,,21000
339,김포별주,살균약주,13%,500ml,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        옥수수 전분, 
                                        국, 
                                        효모, 
                                        젖산, 
                                        효소제, 
                                        정제수",김포양조,최형만,경기도 김포시 월곶면 김포대로 2763,031-989-5568,,http://www.kimpo.co.kr,,4000
340,계룡산 산삼주 금수강산 40%,일반증류주,40%,740ml,"￦150,000(가격은 판매처 별로 상이할 수 있습니다.)","산양산삼, 
                                        정제주, 
                                        주정",농업회사법인 한국산삼(주),전병무,충남 공주시 계룡면 여서울2길9,041-854-5533,,http://iksiks.co.kr/,,150000
341,혼디주,과실주,12%,330ml,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)","감귤(제주산)100%, 
                                        정제수, 
                                        백설탕, 
                                        구연산, 
                                        무수아황산",농업회사법인(주)시트러스,김공률,제주특별자치도 서귀포시 남원읍 신례천로46,064-767-9800,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077972,,,8000
342,백자주,탁주,10%,500ml,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 찹쌀, 
                                        멥쌀, 
                                        잣, 
                                        누룩, 
                                        정제수",농업회사법인(주)산수,안병수,강원도 홍천군 화촌면 야시대로 211-57,070-4195-0772,,,,18000
343,미소 생막걸리,탁주,7%,750ml,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        누룩, 
                                        정제수",울진술도가,홍순영,경북 울진군 근남면 노음2길 4,054-782-1855,,http://www.uljinsuldoga.com,,1500
344,청산녹수 생탁주,탁주,6%,750ml,"￦12,000(750ml*12병 세트)(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        사과농축액, 
                                        효모, 
                                        정제효소",농업회사법인(주)청산녹수,김진만,전남 장성군 장성읍 남양촌길(백계리) 19,061-393-4141,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113497,,,12000
345,감그린 레귤러,과실주,12%,750ml,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)",감(국내산),청도감와인(주),하상오,경북 청도군 풍각면 봉길1길27,054-371-1100,https://shopping.naver.com/fresh/traditionalalcohol/stores/100193049,,,18000
346,마셔블랑,일반증류주,12%,750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)","감귤과즙(한라봉), 
                                        백설탕, 
                                        액상효모, 
                                        무수아황산",농업회사법인(주)시트러스,김공률,제주특별자치도 서귀포시 남원읍 신례천로46,064-767-9800,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077972,,,20000
347,안성마춤 생막걸리,탁주,6%,"1,000ml","￦2,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        누룩, 
                                        효모, 
                                        젖산, 
                                        정제효소, 
                                        정제수",한주양조,이성자,경기도 안성시 서운면 서운로 241-14,031-672-0964,,http://hanjuy.kr.ecplaza.net,,2000
348,르깔롱,리큐르,16%,500ml,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)","정제수, 
                                        주정, 
                                        고과당, 
                                        죽력, 
                                        메론후레바, 
                                        레이지라임, 
                                        코코넛향, 
                                        윌튼스카이아이싱칼라",추성고을,양대수,전남 담양군 용면 추령로 29,061-383-3011,,https://chusungju.modoo.at/,,35000
349,해방주 18.8%,일반증류주,18.8%,375ml,"￦12,000(375ml_18.8%)(가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        해방풍(국내산), 
                                        조효소제, 
                                        효모, 
                                        젖산, 
                                        정세효소제, 
                                        구연산",농업회사법인(주)영덕주조,김상호,경북 영덕군 강구면 소월1길 16-10,054-733-5641,,http://ydjujo.co.kr/new/index.php,,12000
350,감악산 머루주,과실주,12%,360ml,"360ml*4본 ￦28,000 (가격은 판매처 별로 상이할 수 있습니다)","국내산 산머루원액 78.5%, 
                                        주정",산머루농원영농조합법인,서부건,경기도 파주시 윗배우니길 441-25,031-958-4558,,https://sanmeoru.modoo.at,,28000
351,천년주,일반증류주,25%,375ml,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        천년초(열매), 
                                        조효소제, 
                                        효모, 
                                        젖산, 
                                        정제효소, 
                                        구연산, 
                                        정제수",농업회사법인(주)영덕주조,김상호,경북 영덕군 강구면 소월1길 16-10,054-733-5641,,http://ydjujo.co.kr/new/index.php,,15000
352,오산막걸리,탁주,6%,500ml,"￦3,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        국, 
                                        효모, 
                                        정제수",농업회사법인 오산양조(주),김유훈,경기도 오산시 시장길 63,031-374-2139,https://smartstore.naver.com/omaejangteoyorisool/products/4856086801,,,3000
353,모을동주 소주,증류식소주,43%,350ml,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        조제종국 효모, 
                                        정제효소, 
                                        정제수",대작영농조합법인,임국현,강원도 철원군 동송읍 이평로34번길 20-28,010-5338-2443,,https://blog.naver.com/daejak_ricewine,,15000
354,모을동주 약주,약주,13%,375ml,"￦13,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        조제종국 효모, 
                                        정제효소, 
                                        정제수",대작영농조합법인,임국현,강원도 철원군 동송읍 이평로34번길 20-28,010-5338-2443,,https://blog.naver.com/daejak_ricewine,,13000
355,시나브로 레드 스위트,과실주,12%,750ml,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)",포도(캠벨얼리),불휘농장,이근용,충북 영동군 심천면 약목2길26,043-742-5275,,,,25000
356,가덕 순쌀 막걸리,탁주,6%,750ml,"￦13,500(750ml*9병)(가격은 판매처 별로 상이할 수 있습니다)","국내산 쌀, 
                                        효모, 
                                        조효소재, 
                                        물엿, 
                                        아스파탐, 
                                        정제수",농업회사법인 명세주가(주),오웅진,충북 청주시 상당구 가덕면 한계길 32-5,043-297-6122,,https://mssool.co.kr/,,13500
357,샤토미소 영동,일반증류주,40%,200ml,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)",포도,도란원,안남락,충북 영동군 매곡면 유전장척길 143,010-3444-8954,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069001,,,30000
358,포엠 로제와인,과실주,12%,750ml,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)",포도(킹데라웨어),갈기산포도농원 (주)농업회사법인,남성로,충북 영동군 학산면 모리1길 23,010-4715-3100,,http://m.galgisan.cafe24.com/,,35000
359,매실향기 담은 술,약주,14%,500ml,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)","국내산 쌀, 
                                        효모, 
                                        조효소재, 
                                        물엿, 
                                        아스파탐, 
                                        정제수",농업회사법인 명세주가(주),오웅진,충북 청주시 상당구 가덕면 한계길 32-5,043-297-6122,,https://mssool.co.kr/,,6000
360,포엠 화이트와인,과실주,12%,750ml,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)",청포도(청수),갈기산포도농원 (주)농업회사법인,남성로,충북 영동군 학산면 모리1길 23,010-4715-3100,,http://m.galgisan.cafe24.com/,,35000
361,하향주 증류주,일반증류주,45%,700ml,"￦70,000 (가격은 판매처 별로 상이할 수 있습니다)","국내산 찹쌀, 
                                        누룩, 
                                        정제수",하향주가 영농조합법인,박환희,대구광역시 달성군 유가읍 휴양림길 440-27,010-4906-2005,,http://hahyangju.com/info/,,70000
