,정보,상품명
271,홍로는 설련주로 식품명인 제 74호로 지정된 곽우선 명인이 설련주와 붉은빛이 도는 자초를 증류하여 빚은 증류주이다. 진흙에서 피어도 깨끗한 백련처럼 세상을 살고자 했던 조상의 뜻을 잊지 않기 위해 백련꽃으로 술을 빚어 대대로 제사와 혼례에 마시던 술이다. 직접 빚은 전통누룩을 이용하여 밑술과 두 차례의 덧술로 정성껏 빚은 삼양주이다. 은은한 백련꽃 향이 살아있는 명술이다.,홍로 
272,이상헌 약주는 충남 아산에서 재배된 아산 맑은쌀과 제조사 이가수불에서 직접 만든 국내산밀누룩 그리고 물만으로 빚은 약주이다. 순수 띄운 이가수불의 누룩 중 황국이 주종을 이룬 누룩만은 엄선하여 백여일간 발효하여 빚어낸다. 발효된 술의 정수만을 이끌어낸 황금빛 프리미엄 약주이다. 전 공정이 수작업으로 이루어져 하루 200병만 한정생산하고 있다.,이상헌 약주 
273,대작 생막걸리는 철원군농민회가 주축이되어 설립한 대작영농조합에서 생산한 철원 오대쌀 100%로 빚은 막걸리다. 찰지고 맛 좋기로 유명한 철원 오대쌀 그러나 식생활의 변화로 쌀 소비는 줄어들고 귀한 쌀이 팔리지 않는 현실을 극복하고자 농민들이 의기투합하여 철원 오대쌀을 활용하여 부가가치 있는 술을 빚어 판매하기로 한다. 그 첫번째 술이 대작 생막걸리로 제품이 출시된 후 강원도를 대표하는 또 하나의 술로 자리매김하고 있다.,대작 생막걸리 
274,동해 동동주는 1992년에 출시한 제조사 동해명주의 스테디셀러 막걸리이다. 양곡관리법 규제가 풀리면서 기존의 밀로 빚는 막걸리를 쌀로도 빚을 수 있게 되어 전통 쌀막걸리의 명맥을 잇고자 포항에서는 최초로 개발하여 출시한 제품이다. 제품 출시 후 쌀막걸리 특유의 맑고 목 넘김이 좋은 막걸리로 인해 소비자들에게 큰 호응을 얻었으며 동해명주의 대표 술을 자리매김하였다.,동해 동동주 
275,크라테 로제와인은 맑은 공기 청정환경에서 자란 유기농 산머루와 포도로 정성껏 빚은 한국와인이다. 산포도라고 불리는 산머루는 비록 포도 보다 열매는 작지만 아시아 원산지 비티스 아무렌 시스 계통의 당도와 산고가 높은 품종이다. 과실향과 아로마가 풍부한 미디엄 바디의 로제와인으로 진한 핑크빛을 된 부드러운 맛이 일품이다.,크라테 로제와인 스위트 
276,샤토미소 레드 프리미엄 드라이는 MBA 산머루 캠벨얼리 품종을 브랜딩하여 제조사 도란원만의 독창적인 맛과 향을 자아내는 와인이다. 붉은 자주빛을 띄는 레드와인으로 딸기 향과 꽃향기의 풍미가 있고 농익은 포토향의 아로마와 적절한 산미가 살아 있다. 당도 산도 탄닌의 균형이 조화를 이룬 와인으로 한국와인대상 주류품평회에서 3개년동안 수상하고 2016년 아시아와인트로피에서 골드메달을 수상하며 맛과 품질을 인정 받았다.,샤토미소 레드 프리미엄 드라이 
277,오목대는 검은 빛이 감돌아 전주 한옥마을의 기와지붕을 떠올리게 하는 술이다. 구운 맥아를 사용하여 초콜릿 또는 커피와 같은 구수하고 달콤한 향과 여운이 매력적인 제품이다. 제조사 전주술로시티는 3013년 설립 때부터 국산 보리를 원료로 사용하여 제품을 생산하였으며 2018년부터는 전북의 무농약 보리를 사용하여 보다 자연친화적이고 맛 있는 술을 생산하고 있다.,오목대 
278,모월은 단순히 전통적 방식을 재현한 증류식 소주를 넘어 동시대를 사는 우리의 정신을 담아낸 술이다. 병풍처럼 둘러진 치악산 아래 위치한 원주는 예로부터 텃세가 없고 정이 많은 곳이라 누구라도 살기 좋은 고장으로 치악산과 원주를 ‘모월산’ 또는 ‘모월’이라 불렀다. 협동조합 주담은 그러한 어머니와 달 같은 따뜻한 이미지의 이름을 따라 ‘모월’이라는 우리 술을 빚고 있다.,모월 로 
279,거창 사과 원예 농협에서 생산하는 ‘산내울 사과애주’는 해발 600m 이상에서 청정 지역에서 재배된 사과를 엄격한 생산과정과 품질관리를 거쳐 저온발효하여 만든 술이다. 맑고 우아한 색과 상큼하고 달콤한 향이 혀끝을 간질이고 사과의 청량함이 입 안 가득 퍼지는 제품이다.,산내울 사과애주 
280,로아는 한방울 한방울 천천히 내린 흰 빛깔의 이슬을 뜻한다. 한국적인 느림과 비움의 여유 풍류를 담아 증류시킨 프리미엄 전통증류주이다.,배도가 로아 19 레드 
281,한국의 상징적 동물인 호랑이가 눈을 부릅뜨고 전통주의 위상을 지키겠다는 의미를 담아 만든 호랑이 생 막걸리. 막걸리의 명문 배혜정도가에서 태어난 호랑이 막걸리는 전통주가 가진 그 자체의 강한 카리스마와 담담하고 고운 맛을 뿜어내는 프리미엄 막걸리다. 시각적으로 강한 호랑이의 느낌과는 반대로 맛과 향이 풍부하고 감미료를 전혀 첨하지 않는 생쌀 발효 법으로 영양성분과 부드러운 바디감을 그대로 살렸다. ,호랑이 생 막걸리 
282,야관문 막걸리는 40년 가까이 청정지역 지리산에서 술을 빚어온 운봉주조에서 생산하는 웰빙 막걸리이다. 지리산의 맑은물과 국내산쌀만을 사용하여 제조하는 막걸리로 한층 부드럽고 순한 맛으로 인기가 좋다. 야관문은 밤의 빗장을 여는 문이라는 뜻으로 건강에 좋은 약초로 술로 빚어 섭취하면 더욱 효능이 좋다고 알려져 있다. 야관문막걸리는 지리산 허브특구에서 자란 토종허브인 야관문을 첨가한 제품이다.,야관문 쌀 막걸리 
283,명작 복분자로 국내외에서 우수한 품질을 인정 받은 국순당고창명주에서 국내산 1등급 복분자와 국내산 쌀로 빚은 살균막걸리이다. 복분자의 깊은 맛과 우리 전통 막걸리의 맛이 조화롭게 어우러진 제품이다.,자연담은 복분자막걸리 
284,아이싱 자몽(iCing Grapefruit)은 기분까지 리프레싱 시켜주는 맛있는 술이다. 하얀 쌀과 유산균 자연발효를 통해 부드러운 맛과 상큼함을 살려 뽀얗고 산뜻한 술로 자몽의 상큼한 신맛과 톡톡 튀는 탄산의 청량감이 특징이며 자연발효로 빚어 내 몸을 상쾌하게 해주는 식이섬유가 함유되어 있다. 또한 술자리의 상황과 자신의 주량에 맞게 병과 캔 두 가지 선택이 가능하다.,아이싱 자몽 
285,대한민국의 90년의 역사가 담긴 대한민국에서 가장 오래된 양조장에서 나오는 막걸리. 옛날부터 사용하던 우물을 현재까지도 그대로 사용하고 있으며 전통적인 맛을 이어가기 위해 끊임없이 노력하고 있는 양조장이다. 지평 생 쌀 막걸리는 국내산 쌀을 이용하여 빚는 술로 밀 막걸리와 다르게 부드러운 목 넘김과 깔끔함을 가지고 있다. 큰 용량에도 저렴한 가격으로 부담 없이 찾을 수 있는 것 또한 장점이다.,지평 생 쌀막걸리 
286,그랑꼬또 M56은 포도 껍질을 같이 넣고 발효시키다가 어느 정도 우러나면 껍질을 제거하고 과육만으로 만든다. 레드와인과 화이트와인의 중간인 연하고 부드러운 핑크빛깔을 띠며 상큼한 맛과 부드러운 탄닌맛을 내며 장미향을 지녀 연인들의 와인 디저트 와인이라고도 불린다.,그랑꼬또 M56 
287,산머루의 최대산지인 해발 700m의 평창에서 신라시대부터 빚어온 과실주로써 임꺽정과 같은 장사들이 즐겨 마셨다는 기록이 전해져 온다. 전통발효제조법으로 빚은 평창 머루주는 대관령 자락에서 이슬을 머금고 자란 산머루의 그윽한 향과 진한 맛을 음미하며 선조들의 기개와 정취를 느낄 수 있는 제품이다.,평창머루주 
288,충남 청양의 둔송 구기주는 운곡면 광암리 하동 정씨 10대 종부인 임영순 명인의 손끝에서 빚어지는 명주이다. 구기주란 명칭은 한약재인 구기자를 주원료로 사용한데서 비롯되는데 조선시대 실학자 홍만선의 ‘산림경제’와 서유구의 ‘임원경제지’에서도 구기주로 표현하고 있다. 둔송 구기주는 임명인까지 10대째 종가에서 빚는 가양주이자 지역 명주로 사랑받고 있다. 임명인은 58년 21세에 시집온 이후 51년 동안 구기주를 빚고 있다. 지난 96년 농림수산식품부의 식품명인 11호로 지정된데 이어 2000년 충남 무형문화재 30호로 선정됐다.,청양 둔송 구기주 
289,땅끝마을 해남에서 빚어지는 해창막걸리는 은근하면서 투박하다. 막걸리는 쌀과 누룩과 물을 섞어 빚은 한민족의 고유한 술이다. 막 걸러내서 막걸리 인 것인데 금방 걸러냈다는 뜻과 성글게 걸러냈다는 뜻이 함께 담겨있다. 막걸리에 김치 한 입 이것이 바로 한국을 대표하는 맛의 한 가지다. 그 맛에 가장 가까운 막걸리가 바로 해창 주조장의 막걸리다. 막걸리 통에 적인 원료표시는 물 쌀 누룩 단 한 줄. 도시의 막걸리와는 다르게 맛이 달지 않고 기교가 섞여있지 않아 땅끝마을 해남의 투박한 마음이 그대로 녹아있어 재료의 고유한 맛과 향이 그대로 살아있다.,해창 생 막걸리 9도 
290,우곡생주는 자연의 맛 그대로 합성감미료를 전혀 사용하지 않은 순미주(純米酒)이다. 일생을 전통주 품질 향상을 위해 헌신한 故 배상면 회장의 마지막 역작을 바탕으로 딸인 배혜정 대표가 아버지의 술과 삶에 대한 이념을 계승하여 개발한 제품이다. 우곡생주는 유산균과 효모의 공생발효 작용으로 빚은 프리미엄 생막걸리이다.,우곡생주 
291,지리산 자락에서 자라는 복분자를 발효하여 복분자의 진한 맛과 향 색을 그대로 살려낸 고 품격 과실주. 역사 깊은 명가원 양조장에서 대한민국 식품명인의 정성으로 발효 숙성시켜 만드는 술로 복분자의 맛 그대로를 느껴볼 수 있는 과실주다. 장기저온 숙성과 저온여과방식을 도입하여 16%의 도수가 믿기지 않을 만큼 목 넘김이 깔끔하고 부드럽다. 차게 해서 마시면 더욱 맛있게 즐길 수 있는 술.,복분자주 
292,한산소곡화주는 국내산 찹쌀과 누룩을 주원료로 빚은 오랜 전통과 역사를 자랑하는 전통주이다. 강한 첫 맛과 함께 깔끔한 뒷맛을 가지고 있으며 고급 원료를 사용하기 때문에 그 맛과 향이 어느 술보다 뛰어나다. 술 맛이 뛰어나 한번 앉아서 마시기 시작하면 일어날 줄 모른다 하여 앉은뱅이술이라는 별칭도 가지고 있다.,예담은 한산소곡주 
293,오희 스파클링 막걸리는 문경시 특산물 오미자로 만든 천연탄산이 가득한 프리미엄 막걸리이다. 오희란 오미자에서 느낄 수 있는 다섯 가지 맛의 즐거움을 뜻하며 전통 막걸리와는 달리 선홍빛의 투명하고 탄산 맛이 강한 발포주에 가깝다. 2018년 평창동계올림픽에서 전국 전통주 제조사에서 출품한 250여 종의 경쟁 제품을 제치고 당당히 만찬주에 선정되어 세계인의 입맛을 사로잡았다.,오희 스파클링 막걸리 
294,청정지역 평창 산기슭 에서 혹한을 견디고 자라난 오디과실로 빚은 전통과실주이다. 6월 중순 흑자색으로 익은 오디는 과실에 함유되어 있는 다양한 영양성분으로 기능성식품의 재료로서 각광 받아 왔다. 양지바른 산기슭에서 농부의 땀과 정성으로 자란 청정 오디를 전통기법으로 발효. 숙성시킨 “평창 오디주”에는 고향의 맛과 산골마을 이야기가 살아 숨쉬고 있다.,평창 오디주 
295,내장산은 단풍으로 수려한 장관을 펼쳐놓기로 유명한 지역이지만 내장산의 복분자역시 뒤쳐지지 않을 만큼 붉기로 유명하다. 이 내장산에서 오직 복분자로 승부하는 과실주를 생산하는 내장산 복분자 영농조합의 한국형 와인 복분자주 360. 복분자 전문가로써 전통적인 가양주 비법과 양조기법을 병행하여 한국형 와인의 입지를 다지고 있는 곳이다.,복분자주 360 
296,진심 홍삼인삼주는 4년 이상 아침기운과 맑은 바람을 맞고 자란 인삼을 넣어 그 긴 기다림의 시간을 우리 술에 그대로 녹여 낸 술이다. 국내 최고의 인삼산지인 진안 고원에서 최고의 품질로 재배된 인삼과 홍삼을 그대로 담그거나 숙성한 것이 아니라 원물 그대로 증기로 쪄내 건조시켜 넣은 것으로 한병한병 정성스럽게 빚어낸 태평주가의 진심이 담겨있다.,홍삼 진심 인삼주 
297,뱅꼬레 화이트와인은 은은한 금빛이 도는 색감으로 신선하고 부드러운 아카시아 계열의 꽃 향기가 난다. 입안에 적당히 머무르는 산미가 싱그럽게 조화를 이루고 있는 정통 화이트와인이다. 다양한 소스로 만든 음식 유럽식 요리 생선요리 과일 샐러드 등과 잘 어우러진다.,뱅꼬레 화이트와인 
298,(농)고창선운산에서 생산하는 쿨샷7.5는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 복분자 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 복분자 고유의 맛과 향이 뛰어나다. 쿨샷7.5 한 병에는 55알의 햇복분자에서 착즙한 과즙이 들어있어 천연과즙음료를 마시는 것처럼 복분자주를 가볍게 즐길 수 있게 만든 제품이다.,쿨샷7.5 
299,정고집 옛날 생동동주는 옛날 방식 그대로 국내산 쌀을 저온 발효 숙성해 빚은 막걸리다. 효모를 최대한 살림으로써 쌀알이 오래 남아 있고 칼로리는 낮으면서도 영양은 풍부하며 맛이 깔끔하다. 정고집 옛날 생동동주를 빚은 남도탁주는 2대 60여 년 동안 막걸리 제조 비법을 이어오고 있으며 전통방식을 지키면서도 현대적 위생시설을 갖춰 정부로부터 지난 2011년 술 품질인증을 받은 전남지역 대표 양조장 가운데 하나다.,정고집 옛날 생동동주 
300,예밀와인 로제는 강원도 영월에 위치한 예밀2리영농조합법인에서 생산하는 한국와인이다. 한국인이 식용으로 애용하는 캠벨얼리 포도품종으로 만든 와인으로 두꺼운 껍질과 단단한 씨 풍부한 과즙으로 한국와인의 맛과 풍미를 담아냈다. 진한 장미빛색을 띄고 특유의 산미가 조화를 이루고 있어 아름다운 색과 화사한 향이 특징이다. 다른 지역의 캠벨얼리 품종보다 탄닌 성분이 많아 적당한 무게감도 느낄 수 있다. 2018년 광명동굴에서 개최하는 대한민국 와인 품평회에서 은상을 수상하는 등 여러 와인품평회에서 우수한 평가를 받고 있다.,예밀와인 로제 
301,시나브로 에뚜왈 스파클링와인은 충북 옥천 포도연구소와 농촌진흥청에서 육종개발한 화이트와인 양조용 포도품종 청수를 원료로 만든 화이트와인이다. 청포도의 싱그러운 맛과 산미가 생생하게 살아 있으며 상큼한 청포도 향이 매혹적인 스파클링와인이다. 청량한 느낌의 레몬골드빛 와인은 당도와 산도가 균형 잡힌 새콤달콤한 맛을 낸다. 특히 입 안에서 느껴지는 무수한 탄산 기포는 와인 이름처럼 밤하늘에 반짝이는 별들을 떠올리게 한다. 브랜드명 시나브로는 나도 모르는 사이 조금씩이라는 순우리말로 소비자가 시나브로 반하게 되는 매력적인 와인을 만들자는 와이너리의 소망을 담고 있다.,시나브로에뚜왈스파클링 와인 
302,봉하쌀 생막걸리는 경남 김해 봉하마을에서 재배한 친환경 유기농쌀을 사용하여 전남 담양의 양조장 죽향도가에서 제조한 지역화합의 의미를 담고 있는 막걸리이다. 고(故) 노무현 전대통령이 서거 직전까지 의욕적으로 추진했던 고향 봉하마을의 친환경농업이 안정적으로 뿌리를 내리고 그 결실로 봉하쌀 생막걸리가 만들어졌다. 초기에는 생산량이 한정되어 봉하마을에서만 만날 수 있었으나 지금은 전국적으로 유통되고 있다.,대대포 생막걸리 
303,뉴트로는 맥주 제조시 흔히 쓰이는 레몬 라임 잉글리쉬블랙퍼스트를 부재료로 활용하여 페일에일이나 IPA처럼 드라이한 맛의 신개념 막걸리다. 쌉싸름한 맛에 블랙티의 잔잔한 향이 특징이다. 꽃향 느낌을 주기 위해 라임과 레몬을 추가하였다. 가라 앉아 있는 고형물이 섞이지 않을 때는 화이트와인과 비슷한 색감을 띄고 있다. 드라이한 맛을 강조하기 위해 쌀의 함량을 높여 남성들에게 인기 있는 술이다.,뉴트로 
304,메밀로는 강원도 홍천쌀과 메밀 누룩만으로 빚어 증류한 알코올도수 45도의 증류주이다. 높은 알코올 도수답게 입안에서 강하고 묵직함이 오래 남는다. 구수한 메밀향이 조화되어 전체적인 밸런스가 매우 좋은 술이다. 프랑스 와인이 자랑하는 떼루아는 천(天) 지(地) 인(人) 즉 좋은 자연환경을 말한다. 강원도 홍천 삼선대의 좋은 기운과 울창한 숲으로 둘러싸인 천혜의 자연환경 그리고 두루양조장에서 고문헌의 제조 기법이 합쳐져 빚어진 술이 메밀로이다.,메밀로 
305,병영설성 생막걸리는 대한민국 식품명인 제61호로 지정된 김견식 명인이 정성껏 빚은 막걸리이다. 전라남도 친환경막걸리 공동브랜드로 강진지역에서 재배한 100% 유기농 쌀을 원로로 유산균 증식에 도움이 되는 올리고당을 자연 발효시켜 만든 제품이다. 제조사 병영양조장은 2011년 전국 최초로 유기농가공식품인증(02-8-180호)을 획득하고 믿고 즐길 수 있는 주류 생산에 매진하고 있다.,병영설성 생막걸리 
306,모월은 단순히 전통적 방식을 재현한 약주를 넘어 동시대를 사는 우리의 정신을 담아낸 술이다. 100일 이상 저온 발효와 숙성으로 거쳐 달지 않고 상큼한 맛과 드라이한 끝맛이 일품이다. 병풍처럼 둘러진 치악산 아래 위치한 원주는 예로부터 텃세가 없고 정이 많은 곳이라 누구라도 살기 좋은 고장으로 치악산과 원주를 ‘모월산’ 또는 ‘모월’이라 불렀다. 협동조합 주담은 그러한 어머니와 달 같은 따뜻한 이미지의 이름을 따라 ‘모월’이라는 우리 술을 빚고 있다.,모월 연 
307,청남대 블루베리 막걸리는 충북 청주시에 위치한 양조장 명세주가에서 국내산 쌀로 정성껏 빚은 막걸리에 블루베리 엑기스를 첨가하여 분홍빛이 도는 매력적인 제품이다. 명세주가는 경영주가 청원생명쌀의 고장인 청원군 가덕면 한계리에서 농약을 사용하지 않고 우렁이 농법으로 친환경 재배한 지역 쌀을 원료로 막걸리 약주 증류주 등 다양한 제품을 생산하고 있다. 좋은 술을 만들기 위해서는 원재료비가 비싸더라도 좋은 재료를 사용해야 한다는 경영철학으로 맛과 품질에서 당당히 소비자에게 내놓을 수 있는 술을 빚고 있다.,청남대 블루베리 막걸리 
308,기다림 맑은술은 깔끔한 느낌을 유지하면서도 주원료인 찹쌀의 감칠맛을 살린 순하면서도 묵직함을 겸비하고 있는 약주이다. 단어로 정의 할 수 없는 풍부하고 오묘한 향과 맛을 자랑한다. 멥쌀 찹쌀 곡자(밀누룩) 정제수 이외에 어떠한 인공첨가물이 추가되지 않고 빚어낸다. 부산의 시화 동백꽃을 모티브로 하고 동백꽃의 꽃말이기도한 기다림을 브랜드로 하였다.,기다림 맑은술 
309,마주 소곡주는 국내산 찹쌀과 누룩을 주원료로 빚은 오랜 전통과 역사를 자랑하는 전통주이다. 직접 재배한 찹쌀과 모싯잎 등 재료와 우리밀 누룩을 사용하여 빚어낸 술이다. 강한 첫 맛과 함께 깔끔한 뒷맛을 가지고 있으며 고급 원료를 사용하기 때문에 그 맛과 향이 뛰어나다. 술 맛이 뛰어나 한번 앉아서 마시기 시작하면 일어날 줄 모른다 하여 앉은뱅이술이라는 별칭도 가지고 있다.,마주 소곡주 
310,걍즐겨는 맥주효모인 프렌치세종효모로 만든 세종스타일 막걸리로 석류와 히비스커스를 더해 기존의 막걸리의 산미와 달리 과실의 상큼한 산미가 돋보이는 신개념 막걸리다. 우선 색깔부터 장밋빛 로제인데 신맛과 베리향이 이색적이고 잔잔한 누룩향이나 내추럴 와인과 같은 향을 느낄 수 있다. 이양주로 빚고 발효할 때 석류즙과 히비스커스를 더하여 술에 부족한 산미와 과실향을 높인 람빅스타일의 술을 시도한 제품이다.,걍즐겨 
311,유자 동동주는 거제도의 특산품 유자를 활용하여 생산한 막걸리다. 유자 추출액을 발효된 막걸리에 첨가하는 방식이 아니라 발효과정에 첨가하여 제대로된 유자향을 그득하게 담고 있다. 유자의 노란빛을 담고 은은한 유자향과 단맛에 새콤한 산미가 잘 어우러진 막걸리다. 인위적으로 탄산을 넣지 않았지만 발효과정에서 나온 자연탄산으로 특유의 청량감을 느낄 수 있다.,유자 동동주 
312,별바랑은 안동 바랑골에서 농사를 지은 쌀과 5대째 내려오고 있는 발효기법이 합쳐져 만들어진 술이다. 바랑은 승려들이 등에 지고 다니는 자루 모양의 주머니를 뜻한다. 지역명과 술을 담는다는 주머니를 중의적으로 이름에 담고 있다. 시흥 삼해주 5대 이수자인 서규리 대표가 운영하는 금계당에서 빚는 수제 막걸리로 생쌀 발효의 특징을 담아내듯 담백하고 100일 숙성된 술답게 맛의 균형감도 잘 잡혀 있다. 안동 대구서씨 가문의 제주로 쓰이고 있는 술이다.,별바랑 
313,경기도 최북단 DMZ의 민통선에 위치한 연천양조장에서 연천 고래실논에서 재배되는 연천쌀과 누룩 열천에서 재배된 율무로 빚은 알콜올 15%의 고순도 막걸리다. 연천은 우리나라 율무 생산량이 70% 인 주산지로서 두루미가 DMZ 산비탈의 율무를 먹고 겨울을 날 정도로 유명하다.술빚기가 까다로운 율무는 잘 불려서 가루로 낸 후 설기떡으로 찐 후 한국식품연구원으 국산 우수 효모를 사용하여 맛과 향이 은은하게 올라오도록 한달 동안 상온 발효를 진행하여 물을 섞지 않고 걸쭉하게 걸러진 진땡이 막걸리이다.,율무 동동주 
314,강원도 깊은 산의 정기를 가득 품은 7년근 이상의 산양산삼을 3일 동안 고온과 저온 추출하여 3333시간 숙성한 전통주로 진하게 녹아든 진세노사이드(사포닌) 성분과 산양산삼 고유의 향이 진하게 풍기고 부드럽게 넘어가는 33JU다.,33JU 
315,기원전 6세기경부터 시작한 프랑스 와인을 따라해 어설피 흉내만 내는 와인을 만들기보다 한국 와인의 특성을 살려 나만의 와인을 만들어야 누구에게나 자신 있게 내놓을 수 있을 것 같았다는 도란원 와이너리 유럽의 오래된 역사를 따라간 것이 아니라 한국 고유의 와인을 만들어 내고 있는 곳이다. 영동의 포도로 만들어 한국특유의 맛이 살아있는 와인. 고운 빛깔뿐만 아니라 달콤한 맛과 향은 한국형 와인의 대표라고 불리기에 손색이 없다.,샤토미소 로제 스위트 
316,포천의 이동주조는 군사지역인 탓에 군인들이 거주하는 경우가 많았는데 이들이 제대한 후에도 이동막걸리를 잊지 못해 찾아오며 이름을 알리기 시작했다. 60년 역사의 이동주조는 포천 이동면의 물 맛 에 반해 막걸리를 빚기 시작했는데 술 빚는 사람의 마음자세가 가장 중요하다는 가르침이 내려오고 있어 사장을 비롯한 전체 직원이 이슬이 맺히는 새벽부터 술을 빚기 시작한다.,이동 생 쌀 막걸리 
317,버림과 기다림으로 완성한 고급 고구마 증류소주 려(驪)고구마증류소주 25도는 100% 여주산 고구마의 향긋함이 상압증류와 옹기숙성으로 더 깊고 풍부한 풍미를 자랑하고 부드러운 목 넘김이 매력적인 고급 증류소주이다. 려(驪)고구마증류소주 25도는 깊고 풍부함을 조금 쉽게 즐길 수 있는 알코올 도수의 제품이다.,고구마증류소주 려(驪) 25도 
318,찹쌀과 쌀 밀의 황금비율로 빚은 찹쌀막걸리이다. 막걸리를 마시면 숙취가 심해 머리가 아프고 속트림과 배부름으로 마시기를 꺼려한다는 소비자 시장조사 결과를 바탕으로 그 품질을 한층 개선하여 제조된 제품이다.,찰막걸리 
319,프리미엄 탁주인 문희는 문경주조가 위치한 문경의 옛 이름인 문희에서 따온 술로 기쁜 소식을 전한다는 의미를 담고 있다. 모든 술 빚는 과정 하나하나를 손으로 직접 하고 있는 수제전통주로 힘겨운 육체노동 뒤 황토 벽돌로 지은 황토 방에서 100일 이상 자연 건조로 숙성시키는 기다림 끝에서야 비로소 진짜배기 탁주를 얻을 수 있다. 프리미엄 전통주 문희는 재료를 세 번에 담는 전통 삼양주 기법으로 90일에서 100일간을 숙성시켜 빚고 있다. 인공 감미료를 전혀 쓰지 않고 유기농 햇 찹쌀과 전통누룩 그리고 천연 암반수로만 빚어 숙취가 없고 풍미가 상당히 뛰어난 탁주다.,문희 (햇찹쌀수제전통주) 500ml 
320,홍천강탁주는 강원도 골짜기에서 골골히 모여 내려오는 계곡물로 이루어진 홍천강의 청정한 이미지를 형상화 했다. 홍천의 쌀과 누룩으로 숙성시킨 전통주로 찹쌀과 멥쌀을 3:1 비율로 섞어 빚은 이양주(두 번 빚은 술)로 멥쌀 술 특유의 드라이함과 담백함으로 술을 즐겨 마시는 사람들이 즐기기에 좋다.,홍천강 탁주 
321,막걸리 한 사발에는 식이섬유가 일반적인 식이섬유 음료보다 100배에서 많게는 1000배 이상 많이 들어있다고 알려져 있는 영양분도 풍부한 술이다. 대강 양조장에서는 막걸리에 검은콩과 검은깨를 넣어 기존의 막걸리에 영양성분을 업그레이드하여 건강에 더욱 집중한 검은콩 막걸리를 선보였다. 검은콩과 검은깨를 주원료로 만든 고소하고 건강한 느낌의 막걸리. 다양한 용량으로 생산하고 있어 자신의 주량과 인원에 맞게 선택이 가능하다.,소백산 검은콩 막걸리 
322,막걸리는 본디 다른 곡물이 섞이면 맛이 달라진다는 느낌보다 오히려 특색이 있어진다고 느껴지는 경우가 많다. 하지만 알밤주에는 세종의 노하우에 밤을 녹여 향기가 그윽하면서도 막걸리 특유의 새콤함까지 느낄 수 있는 아주 특색 있는 막걸리가 되었다. 막걸리에 거부감이 있는 사람도 거부감 없이 마실 수 있을 만큼 친근하게 마실 수 있는 것이 특징이다.,세종 알밤주 
323,일반 시중보다 3배 이상 비싼 원료로 만드는 막걸리를 생산하기 시작했을 때 주위 사람들은 모두가 다랭이팜은 곧 망할 것이다라고 했다고 한다. 하지만 최고의 막걸리를 위해 좋은 원료를 고집했고 이를 알아 주는 많은 사람들이 다랭이팜을 찾아주고 있다. 역시 최고의 원료로 빚는 막걸리는 그 맛부터 다르다. 다랭이팜 생 막걸리에 합성감미료를 전혀 사용하지 않고 블랙푸드의 대명사 흑미를 첨가하여 앉은뱅이 밀 누룩 지하 150m 암반수로 전통항아리에서 발효시켜 만든 흑미 막걸리다.,다랭이팜 생 막걸리 (흑미) 
324,전통적인 막걸리 제조법에 프랑스 샴페인 지방의 후발효방식을 접목하여 만든 막걸리이다. 자연발생 탄산의 함량이 높아 청량감이 오래 지속되며 원료 가공의 파별화로 목넘김이 부드럽고 깔끔한 맛을 자랑한다. 2014년 대한민국 우리술품평회 생막걸리 부문 장려상을 수상하며 그 품질을 인정 받았다.,천마 이야기 
325,다래와인은 20℃를 넘지 않는 저온발효를 통해서 숙취의 주범인 메탄올(Methanol)과 아세트 알데이드(Acetaldehyde)를 줄이고 최고의 와인을 빚고 있다. 참다래에 풍부한 유기산(퀴닌산Qunic acid 사과산 (Malic acid) 스트르산(Citric acid)등의 10종이 넘는 유기산) 특유의 상큼함이 고스란히 와인에 녹아 멋진 밸런스를 갖추고 있다. 또한 참다래 특유의 과일향이 어우러진 아로마(Aroma)와 저온발효와 저온숙성을 통해 생성되는 휘발성 에스테르(Ester)가 훌륭한 부케(Booqet)를 형성하여 황금빛 와인에 풍미를 더하고 있다. 다래와인 7004S는 참다래의 달콤함과 감미로운 향 산뜻한 풍미를 지니고 있고 알코올 도수 8%로 부담없이 즐길 수 있는 제품이다.,다래와인 7004S 
326,베베마루 캠벨로제는 한국와인의 메카 충북 영동군에 위치한 와이너리 월류원에서 생산하는 와인이다. 직접 경작하는 포토밭에서 수확한 캠벨얼리 품종을 이용하여 시그니처 발효 및 숙성기술로 만들어진 와인으로 딸기 장미 체리 등 풍부한 과실향이 잘 어우러져 있다. 와인의 평가 기준인 당도 탄닌 바디감 등의 균형감이 우수하다는 평가를 받고 있다.,베베마루 캠벨로제 
327,과하주는 조선초기부터 만들어져 왔으며 옛날 궁중의 공물로 진상하였다. 또한 상류 사대부 집안의 귀빈접대용으로 즐겨 마시든 고급명주이다(금릉승람에 소개). 투명한 황갈색의 주도 16%(약주)와 23%(기타주)가 있으며 진기가 있고 독특한 향과 감미와 산미를 지닌 부드러운 전통민속명주이다. 과하주는 차게해서 마시면 특유의 청량감을 느낄 수 있어 여름을 지나는 술이라는 뜻에서 과하주(過夏酒)라 이름 붙었다.,김천 과하주 
